dataset,model,base_model,family,output_transformation,seq_len,pred_len,features,mse_NN,mse_RR,mse_NR,mse_RN,mae_NN,mae_RR,mae_NR,mae_RN,RR_over_NN,NR_over_NN,RN_over_NN,RR_over_RN,RR_over_NR,NR_over_RR,NR_over_RN,mismatch_over_matched,interaction,log_RR_over_NN,log_NR_over_NN,log_RN_over_NN,log_mismatch_over_matched,log_interaction,abs_log_interaction,direction_asymmetry_NR_over_RN,abs_log_direction_asymmetry
exchange_rate,ols,dlinear_ols,linear,raw,96,96,M,0.0802464999170322,0.1095029644860694,0.1007151774739254,0.0825076328318847,0.202160142603275,0.2318032753312708,0.2204502127085447,0.2067780757946812,1.3645824378544336,1.2550725275003396,1.0281773400358933,1.327185870296263,1.0872538502393951,0.9197484099778691,1.2206770939500822,0.9656038338878979,1.0574575103954729,0.31084847550428796,0.22719336175084512,0.02778766191741749,-0.03500163873455806,0.055867451836025366,0.055867451836025366,1.2206770939500822,0.19940569983342774
exchange_rate,ols,dlinear_ols,linear,raw,96,192,M,0.1659577851668483,0.2903883206969996,0.2552397343854352,0.1774759108616186,0.3002952827733089,0.3886627943134976,0.3609596607546399,0.3128652956112823,1.7497722110779743,1.5379798792134147,1.06940394922233,1.6362125952035316,1.1377081291680349,0.8789600551867939,1.4381655129774233,0.9482181170976303,1.063871262113232,0.5594856143649107,0.4304697885618652,0.06710143645846932,-0.053170721865150206,0.06191438934457616,0.06191438934457616,1.4381655129774233,0.36336835210339574
exchange_rate,ols,dlinear_ols,linear,raw,96,336,M,0.3024518382614224,0.6257735268602578,0.5408210633540828,0.3388239579434019,0.4120847569928778,0.5948210527304999,0.5508692471191082,0.4381231641586926,2.0690022267921355,1.7881229172316266,1.1202575586614272,1.8468986982460924,1.1570805378387334,0.8642440757562666,1.596171258481146,0.9476632015783935,1.0328701010697086,0.7270664750277546,0.5811664200437203,0.11355862196010466,-0.053756112448006904,0.03234143302392947,0.03234143302392947,1.596171258481146,0.4676077980836156
exchange_rate,ols,dlinear_ols,linear,raw,96,720,M,0.8297614958058462,1.9609136524765456,1.745060766959535,0.9044981758716064,0.6821429652234731,1.0953951355313212,1.021575956756713,0.7199264835699793,2.363225652658357,2.103087183220969,1.0900700748872152,2.1679575534654227,1.1236936212216246,0.8899222894162636,1.929313749337231,0.9494329515428892,1.0308453072045745,0.8600274877878387,0.7434063524570625,0.08624198306196376,-0.051890365711911815,0.030379152268812482,0.030379152268812482,1.929313749337231,0.6571643693950989
illness,ols,dlinear_ols,linear,raw,104,24,M,2.1952276006802394,0.661330867893932,0.6480650432335563,2.2874501164990253,1.0237821211113034,0.5612086059463105,0.5638163550725419,1.0470157095061086,0.30125845160155795,0.29521542232465514,1.0420104574988984,0.2891126950152287,1.0204698969630968,0.9799407145433542,0.28331330093677803,1.0276404953817806,0.9793278844940724,-1.1997867394619035,-1.2200499439732657,0.041151979268241504,0.02726539320560202,-0.020888774756879412,0.020888774756879412,0.28331330093677803,1.261201923241507
illness,ols,dlinear_ols,linear,raw,104,36,M,2.221240641577469,0.6512002886524757,0.6523722742391049,2.355466011335429,1.0468768526077767,0.5705719919231085,0.5776524154605897,1.0802279831097088,0.2931696262274446,0.29369725280004183,1.060428108168702,0.27646346222728063,0.9982035018456353,1.0017997313684464,0.27696102219248037,1.0471366891898974,0.941321240125816,-1.2270039083759674,-1.2252057945835095,0.05867270221901686,0.04605947655704265,-0.060470816011474623,0.060470816011474623,0.27696102219248037,1.2838784968025263
illness,ols,dlinear_ols,linear,raw,104,48,M,2.2623476904067825,0.6308531161309939,0.6513003638669457,2.4582414386703997,1.0686957001628437,0.5689495468105507,0.5863676326226168,1.1193750933636102,0.2788488784487247,0.2878869444465622,1.0865887012391073,0.2566278097045693,0.9686055023606145,1.0324120579150884,0.264945645135336,1.074775658679032,0.8914187136826024,-1.2770852982141045,-1.2451874299206769,0.08304315681056923,0.07211195020002087,-0.11494102510399674,0.11494102510399674,0.264945645135336,1.328230586731246
illness,ols,dlinear_ols,linear,raw,104,60,M,2.385154406727298,0.6613957751166054,0.7009904924048795,2.654470007298234,1.1037811236802175,0.5830303764427566,0.6126794281636629,1.1710540626607988,0.27729683799553895,0.29389732187892936,1.11291327714941,0.24916302436951834,0.943516042346827,1.0598653919149899,0.2640792664741238,1.1013967600797057,0.8477893666283925,-1.282666729254343,-1.224524817953566,0.10698115115288155,0.09657915620373482,-0.16512306245365874,0.16512306245365874,0.2640792664741238,1.3315059691064473
traffic,ols,dlinear_ols,linear,raw,96,96,M,0.648631942461111,0.65466000975808,0.6548172086194494,0.6481967387316556,0.3960947061173274,0.3963342281573914,0.3970714131223929,0.39535670860272,1.0092935097739661,1.0095358642605075,0.9993290436363585,1.0099711563484124,0.9997599347431617,1.0002401229020044,1.0102136735534155,0.9997866902595289,1.0004311804100432,0.009250590818902471,0.009490684896017265,-0.0006711815555973575,-0.00021333249422954785,0.00043108747848274716,0.00043108747848274716,1.0102136735534155,0.010161866451614413
traffic,ols,dlinear_ols,linear,raw,96,192,M,0.598342341433408,0.6024029247148405,0.6023170376600553,0.5980168431964856,0.3704324417951998,0.3682229432342873,0.3685749687767425,0.3698641549960888,1.006786387992708,1.0066428463296202,0.9994559999946809,1.0073343778996435,1.0001425944302005,0.9998574259000721,1.007190758107388,0.9996573917022157,1.0006869681461947,0.006763464116816203,0.006620879852235163,-0.000544148027006928,-0.0003426670014157916,0.0006867322915880098,0.0006867322915880098,1.007190758107388,0.007165027879242163
traffic,ols,dlinear_ols,linear,raw,96,336,M,0.6051667731221522,0.6143027170452885,0.6141508529920391,0.6047808930339744,0.3732005572455075,0.3747267045781906,0.3753494778253166,0.3723321973289808,1.0150965722655303,1.0148456264767092,0.9993623574437391,1.015744254028176,1.0002472748389253,0.9997527862908049,1.015493148123544,0.9995590343622673,1.0008854820162025,0.014983753056936147,0.014736508785394856,-0.0006378459367362684,-0.00044106289167097115,0.0008850902082775451,0.0008850902082775451,1.015493148123544,0.015374354722131138
