dataset,seq_len,pred_len,features,NR_over_NN_ols,NR_over_NN_revin_ols,RN_over_NN_ols,RN_over_NN_revin_ols,RR_over_NN_ols,RR_over_NN_revin_ols,abs_log_interaction_ols,abs_log_interaction_revin_ols,interaction_ols,interaction_revin_ols,mismatch_over_matched_ols,mismatch_over_matched_revin_ols,revin_minus_ols_mismatch_over_matched,revin_over_ols_mismatch_over_matched,revin_minus_ols_interaction,revin_over_ols_interaction,revin_minus_ols_abs_log_interaction,revin_over_ols_abs_log_interaction,revin_minus_ols_RR_over_NN,revin_over_ols_RR_over_NN,revin_minus_ols_NR_over_NN,revin_over_ols_NR_over_NN,revin_minus_ols_RN_over_NN,revin_over_ols_RN_over_NN
exchange_rate,96,96,M,1.2550725275003396,1.0454610012233572,1.0281773400358933,0.9673540045102057,1.3645824378544336,0.9224964760623523,0.055867451836025366,0.09193889550057655,1.0574575103954729,0.9121608849765004,0.9656038338878979,1.0469798154617171,0.0813759815738192,1.0842747084445261,-0.14529662541897248,0.8625981431966625,0.03607144366455118,1.6456611583149208,-0.44208596179208126,0.6760283955528668,-0.20961152627698243,0.8329885152577959,-0.06082333552568764,0.9408435362682042
exchange_rate,96,192,M,1.5379798792134147,1.1489001572975155,1.06940394922233,0.9230531444327673,1.7497722110779743,0.9427092880760403,0.06191438934457616,0.11773395958213262,1.063871262113232,0.8889325131364454,0.9482181170976303,1.0665277169608012,0.11830959986317091,1.1247704486234675,-0.17493874897678663,0.8355639867277783,0.05581957023755646,1.9015605391325139,-0.807062923001934,0.5387611496557426,-0.38907972191589923,0.7470189778328632,-0.14635080478956264,0.8631473122050943
exchange_rate,96,336,M,1.7881229172316266,1.1357476167119436,1.1202575586614272,0.9440555765503147,2.0690022267921355,0.9639406315539573,0.03234143302392947,0.10644645791623789,1.0328701010697086,0.8990231824471536,0.9476632015783935,1.0589949410113406,0.11133173943294716,1.117480281230206,-0.13384691862255493,0.8704126312844818,0.07410502489230841,3.291333993687849,-1.1050615952381784,0.46589637220859337,-0.6523753005196831,0.6351619375642861,-0.1762019821111125,0.8427129718975941
exchange_rate,96,720,M,2.103087183220969,1.10211554149032,1.0900700748872152,1.213703128553395,2.363225652658357,0.8499768709763089,0.030379152268812482,0.4534538156321077,1.0308453072045745,0.6354297002524975,0.9494329515428892,1.251809526041027,0.3023765744981377,1.318481230303579,-0.395415606952077,0.6164161545980579,0.4230746633632952,14.926480226297413,-1.5132487816820481,0.3596680960280635,-1.000971641730649,0.524046530397462,0.12363305366617983,1.1134175283905225
illness,104,24,M,0.29521542232465514,0.7050989312981104,1.0420104574988984,1.0458611603674006,0.30125845160155795,0.49955025491662225,0.020888774756879412,0.3894705405366583,0.9793278844940724,0.6774154435831096,1.0276404953817806,1.1676568263881677,0.1400163310063871,1.1362503050781094,-0.3019124409109628,0.6917146486981397,0.3685817657797789,18.64496817403768,0.1982918033150643,1.6582115863004019,0.40988350897345527,2.3884217353749797,0.0038507028685021982,1.0036954551087183
illness,104,36,M,0.29369725280004183,0.8428035542689102,1.060428108168702,1.1348517669529274,0.2931696262274446,0.5388786868320041,0.060470816011474623,0.5737454649727373,0.941321240125816,0.563411244768934,1.0471366891898974,1.2851275010463084,0.2379908118564109,1.2272776938419847,-0.37790999535688197,0.5985323827322,0.5132746489612626,9.487972923399386,0.24570906060455955,1.8381122688812772,0.5491063014688684,2.8696337682215804,0.07442365878422552,1.070182653789469
illness,104,48,M,0.2878869444465622,0.9085414324523844,1.0865887012391073,1.2020798050724726,0.2788488784487247,0.5316180559513544,0.11494102510399674,0.7199684280593132,0.8914187136826024,0.4867676239159228,1.074775658679032,1.3780336614103565,0.3032580027313245,1.2821593513794758,-0.4046510897666796,0.5460594627916245,0.6050274029553164,6.26380726470725,0.25276917750262967,1.90647371045141,0.6206544880058222,3.155896611424936,0.11549110383336525,1.106287782766067
illness,104,60,M,0.29389732187892936,1.040319802272533,1.11291327714941,1.3251378523400683,0.27729683799553895,0.5655294406386827,0.16512306245365874,0.891037585125598,0.8477893666283925,0.41022988342759376,1.1013967600797057,1.510963379677852,0.40956661959814644,1.3718611080429426,-0.4375594832007988,0.4838818456275919,0.7259145226719393,5.396203121993724,0.28823260264314376,2.039437033349009,0.7464224803936037,3.5397389660498217,0.2122245751906584,1.1906928235542715
traffic,96,96,M,1.0095358642605075,1.0077031994831356,0.9993290436363585,0.9967734566194987,1.0092935097739661,1.0054520150475654,0.00043108747848274716,0.0009952851739634732,1.0004311804100432,1.0009957806346135,0.9997866902595289,0.9995136463312946,-0.0002730439282343511,0.9997268978164098,0.0005646002245702775,1.0005643568849372,0.0005641976954807261,2.308777739187584,-0.003841494726400718,0.9961938775101595,-0.001832664777371873,0.9981846461901437,-0.0025555870168598727,0.9974426971445155
traffic,96,192,M,1.0066428463296202,1.0022709938760157,0.9994559999946809,0.9956680345787671,1.006786387992708,0.9993304755283913,0.0006867322915880098,0.0014032077994170788,1.0006869681461947,1.001404192756127,0.9996573917022157,0.9993040434832362,-0.00035334821897947677,0.9996465306794983,0.0007172246099322876,1.0007167322377157,0.000716475507829069,2.0433112241922986,-0.00745591246431665,0.9925943451826142,-0.004371852453604497,0.9956569974449777,-0.003787965415913863,0.9962099728092743
traffic,96,336,M,1.0148456264767092,1.0127266994043918,0.9993623574437391,0.9950729784012118,1.0150965722655303,1.0096918279608589,0.0008850902082775451,0.001937967266963302,1.0008854820162025,1.0019398463391913,0.9995590343622673,0.9990584874113883,-0.0005005469508790883,0.9994992322277408,0.0010543643229887767,1.001053431528315,0.001052877058685757,2.1895703385248586,-0.005404744304671416,0.99467563535102,-0.0021189270723174225,0.9979120695630588,-0.004289379042527353,0.9957078841217323
traffic,96,720,M,1.0295900842377363,1.0381525146015973,0.999530136662321,0.9920985513152502,1.0297723248515613,1.0311725014085142,0.0006469611726915288,0.0011866310755834534,1.0006471704972102,1.001187335400802,0.9996787304942925,0.9995463529114205,-0.00013237758287198975,0.9998675798745797,0.0005401649035918776,1.0005398155508933,0.0005396699028919246,1.834161191848277,0.0014001765569529034,1.0013596952677426,0.008562430363860951,1.008316348899378,-0.00743158534707089,0.9925649211819798
weather,96,96,M,0.9964407882547983,0.9913609072560049,0.9959456173344021,0.8189526152353138,0.9927944252578467,0.8128511691761994,0.0003965244881271702,0.0011984297530211313,1.000396603114354,1.0011991481569145,0.9997952525039839,0.9986001902814593,-0.0011950622225246343,0.9988046930413687,0.0008025450425603875,1.0008022268768826,0.0008019052648939612,3.022334783613113,-0.1799432560816473,0.8187507388199599,-0.005079880998793418,0.9949019740473586,-0.1769930020990883,0.8222864792830746
weather,96,192,M,0.9925835529710365,0.9772981268954992,0.9953230620721389,0.77872853878821,0.9884700517347319,0.763366457709109,0.0005350611257700585,0.00303921838467447,1.000535204296508,1.0030438414912264,0.9997166481380673,0.9958376252461243,-0.0038790228919429737,0.9961198776681698,0.0025086371947182773,1.002507295279512,0.0025041572589044117,5.68013305078076,-0.22510359402562286,0.7722706989143742,-0.01528542607553729,0.9846003633348704,-0.21659452328392892,0.7823877175788472
weather,96,336,M,0.9773928297268433,0.9571881193278355,0.9946280720652364,0.801753788265357,0.9729815471720619,0.7681173861609336,0.0008628770080220721,0.0008963394001702875,1.0008632493934875,1.0008967412323808,0.9995130996631171,0.9948105942288913,-0.00470250543422579,0.9952952037989189,3.349183889334029e-05,1.0000334629520202,3.346239214821543e-05,1.0387800252378026,-0.20486416101112825,0.7894470233206796,-0.02020471039900773,0.9793279531172185,-0.19287428379987936,0.8060840134952184
weather,96,720,M,0.9519692335493054,0.9553328553078655,0.9918483696861762,0.9177492730720043,0.9470352230323412,0.8750987481822161,0.0029886067769234895,0.0018920356071788764,1.002993077114408,0.9981097531638732,0.9983474259947652,0.9989245260793324,0.0005771000845671281,1.000578055363835,-0.0048833239505348125,0.9951312485978626,-0.001096571169744613,0.633082820325584,-0.07193647485012511,0.9240403386266991,0.003363621758560087,1.0035333303220517,-0.07409909661417191,0.9252919106600769
