case,model_name,seasonal_pattern,seq_len,pred_len,frequency,series_count,mse,mae,smape,mase,owa,naive_smape,naive_mase,checkpoint
NR,revin_ols,Weekly,130,13,1,359,217680.52681573867,252.26531828508058,40.83947608277189,2.4163408797147596,4.542982395659585,5.156093172616785,2.0735060513928527,checkpoints/m4_reversal/revin_ols_m4_NR_Weekly_s130.npz
NR,revin_ols,Daily,140,14,1,4227,44449318.773380905,2969.649329389734,64.81723329054728,62.536455470962615,22.41144308281949,2.792181240025279,2.8939935232929406,checkpoints/m4_reversal/revin_ols_m4_NR_Daily_s140.npz
NR,revin_ols,Hourly,480,48,24,414,1651090.5368892374,296.5040191680526,12.505092207094451,1.3147281451406483,0.9100866997157561,14.83219803183893,1.345583799200641,checkpoints/m4_reversal/revin_ols_m4_NR_Hourly_s480.npz
RN,revin_ols,Yearly,9,6,1,23000,1822180737.0806067,23642.295270114144,156.32608134076645,93.8428301168831,16.58893324791387,16.34217348809131,3.9743602651835848,checkpoints/m4_reversal/revin_ols_m4_RN_Yearly_s9.npz
RN,revin_ols,Quarterly,12,8,4,24000,28993301.529460367,2337.1313601940437,27.851990271316758,5.140686607140838,2.7163899857733593,12.521366833774172,1.6022471761870838,checkpoints/m4_reversal/revin_ols_m4_RN_Quarterly_s12.npz
RN,revin_ols,Monthly,27,18,12,48000,728301056.4532623,12365.079369867726,144.6223359264019,23.152267286980813,13.71223183679965,15.988281562780067,1.2597170382819993,checkpoints/m4_reversal/revin_ols_m4_RN_Monthly_s27.npz
RN,revin_ols,Weekly,130,13,1,359,307075.9853738133,295.56865830360675,7.4533090652088285,2.347898152002043,0.8294779972265078,9.161286913956424,2.777294993197484,checkpoints/m4_reversal/revin_ols_m4_RN_Weekly_s130.npz
RN,revin_ols,Daily,140,14,1,4227,20776541.547685742,2057.2777885741684,41.94535348358594,44.19531969669438,13.627338561882583,3.0452517800571,3.2784242959709133,checkpoints/m4_reversal/revin_ols_m4_RN_Daily_s140.npz
RN,revin_ols,Hourly,480,48,24,414,1488417.9361290536,287.439620416014,14.489212189098447,1.2333709012673875,1.0375637470199766,13.912272895203037,1.193210207420035,checkpoints/m4_reversal/revin_ols_m4_RN_Hourly_s480.npz
RR,revin_ols,Yearly,9,6,1,23000,449699578.7310862,8496.515000577643,117.27084322542908,28.434649267934613,6.916648159962178,19.42854926827774,3.6467347905728182,checkpoints/m4_reversal/revin_ols_m4_RR_Yearly_s9.npz
RR,revin_ols,Quarterly,12,8,4,24000,24382043.60151713,1848.4024298214165,23.71887428525561,3.554794569829064,2.1480536671307573,12.682663669074588,1.4653348081890543,checkpoints/m4_reversal/revin_ols_m4_RR_Quarterly_s12.npz
RR,revin_ols,Monthly,27,18,12,48000,689974799.3548836,12034.108180515435,135.82857059040356,20.633964663249884,13.169414278306785,15.345046368483752,1.1799463898199907,checkpoints/m4_reversal/revin_ols_m4_RR_Monthly_s27.npz
RR,revin_ols,Weekly,130,13,1,359,200494.4433068415,234.26752688437966,40.89726247380124,2.103122304393203,4.47305736060602,5.156093172616785,2.0735060513928527,checkpoints/m4_reversal/revin_ols_m4_RR_Weekly_s130.npz
RR,revin_ols,Daily,140,14,1,4227,15222531.262379859,1609.7771112808118,36.77443589404324,32.22328461290255,12.152521953997724,2.792181240025279,2.8939935232929406,checkpoints/m4_reversal/revin_ols_m4_RR_Daily_s140.npz
RR,revin_ols,Hourly,480,48,24,414,1592589.6332740528,290.8852550152741,12.920827031691697,1.0967239460354217,0.8430940139011137,14.83219803183893,1.345583799200641,checkpoints/m4_reversal/revin_ols_m4_RR_Hourly_s480.npz
