family,metric,subgroup,comparison,n_blocks,median_delta_NN_minus_other,mean_delta_NN_minus_other,NN_better_rate,other_better_rate,p_value,p_holm,significant_holm_0.05,p_label_holm
deep_ltsf,mse,model=TimesNet,NN_vs_NR,30,-0.03759608417749405,0.11114022682110468,0.8,0.2,0.0029870010912418365,0.005974002182483673,True,**
deep_ltsf,mse,model=TimesNet,NN_vs_RN,30,-0.040236376225948334,-0.08448846687873204,0.8333333333333334,0.16666666666666666,5.973502993583679e-06,2.3894011974334717e-05,True,***
deep_ltsf,mse,model=TimesNet,NN_vs_RR,30,0.006282590329647064,0.1966522216796875,0.23333333333333334,0.7666666666666667,0.0004183966666460037,0.0012551899999380112,True,**
deep_ltsf,mse,model=iTransformer,NN_vs_NR,38,0.00039019063115119934,0.11805030703544617,0.42105263157894735,0.5789473684210527,0.3425032254308462,0.3425032254308462,False,ns
deep_ltsf,mse,model=iTransformer,NN_vs_RN,38,-0.0020677968859672546,-0.014062022888346723,0.7105263157894737,0.2894736842105263,0.002044867622316815,0.00817947048926726,True,**
deep_ltsf,mse,model=iTransformer,NN_vs_RR,38,0.006033599376678467,0.13286016959893077,0.2631578947368421,0.7368421052631579,0.00010579609079286456,0.0005289804539643228,True,***
deep_m4_official,mase,ALL,NN_vs_NR,42,0.0,-0.17221307142857142,0.47619047619047616,0.047619047619047616,0.00042745986742092235,0.0008549197348418447,True,***
deep_m4_official,mase,ALL,NN_vs_RN,42,-15.3820975,-27.938937619047618,1.0,0.0,4.547473508864641e-13,2.7284841053187847e-12,True,***
deep_m4_official,mase,ALL,NN_vs_RR,42,-15.3820975,-27.968651333333334,1.0,0.0,4.547473508864641e-13,2.7284841053187847e-12,True,***
deep_m4_official,mase,model=DLinear,NN_vs_NR,6,-0.002535000000000065,-0.14183333333333328,0.5,0.0,0.25,0.5,False,ns
deep_m4_official,mase,model=DLinear,NN_vs_RN,6,-16.628172,-28.972107500000003,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=DLinear,NN_vs_RR,6,-16.628172,-28.972107500000003,1.0,0.0,0.03125,0.1875,False,ns
deep_m4_official,mase,model=GRU,NN_vs_NR,6,0.0,-0.004108666666666649,0.3333333333333333,0.16666666666666666,0.75,1.0,False,ns
deep_m4_official,mase,model=GRU,NN_vs_RN,6,-13.956465000000001,-27.59502,1.0,0.0,0.03125,0.1875,False,ns
