source,model,dataset,case,lr,seq_len,pred_len,mse,mae,result_dir
shallow_ltsf,RevIN-OLS,ETTh2,NN,,336,96,0.4897857205453565,0.4858282152770059,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,NN,,336,336,2.1525821413213855,1.061993219134877,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,NR,,336,96,0.4805755720918658,0.4845266851260421,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,NR,,336,336,2.4349567590726493,1.1328078231934755,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,RN,,336,96,0.3809795237617134,0.4092502055147672,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,RN,,336,336,1.676466605809107,0.9505547844553304,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,RR,,336,96,0.3611698984277831,0.4020828956109509,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTh2,RR,,336,336,1.8668317431362036,1.008975613772865,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,NN,,336,96,0.3078971966160901,0.3485664945194731,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,NN,,336,336,0.3762307654699949,0.3879110128936555,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,NR,,336,96,0.3034963238073767,0.3470235986254055,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,NR,,336,336,0.3745688155433846,0.3863112864086682,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,RN,,336,96,0.309346284950528,0.3497516604475016,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,RN,,336,336,0.3737836209482228,0.3871462355830842,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,RR,,336,96,0.305131705765806,0.3484598255397542,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm1,RR,,336,336,0.3731526794707091,0.3861171512648366,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,NN,,336,96,0.1700401494741986,0.2567602821142163,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,NN,,336,336,0.3347296713184887,0.3698516730012547,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,NR,,336,96,0.1720259488422111,0.2616840804328031,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,NR,,336,336,0.3374986358246884,0.3750870606570392,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,RN,,336,96,0.1692585782182311,0.2554471123512334,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,RN,,336,336,0.3159919919427367,0.3560910356616031,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,RR,,336,96,0.1703586999353493,0.2594843513719647,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,ETTm2,RR,,336,336,0.3138670409370713,0.3565905513028575,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,NN,,336,96,0.1408051331843056,0.236972628616684,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,NN,,336,336,0.1717584735296436,0.2662840670276108,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,NR,,336,96,0.1302212000487726,0.2334158854106752,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,NR,,336,336,0.1663859238588304,0.2667433966872369,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,RN,,336,96,0.1418478264910772,0.2392781032819211,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,RN,,336,336,0.1782742784486335,0.2784176450084073,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,RR,,336,96,0.1314998665986892,0.2358105968604978,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,electricity,RR,,336,336,0.1754075961566914,0.2804156871401232,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,NN,,336,96,0.0876956971499426,0.2055071178600564,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,NN,,336,336,0.3463177717456161,0.423836882628272,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,NR,,336,96,0.0901938574200013,0.2138349093788501,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,NR,,336,336,0.3331138855551483,0.4164042810084918,results/long_input/revin_ols_results.csv
shallow_ltsf,RevIN-OLS,exchange_rate,RN,,336,96,0.083310760508161,0.1999137889859805,results/long_input/revin_ols_results.csv
