block_definition,metric,subgroup,family,case_a,case_b,n_blocks,wilcoxon_statistic,p_value,median_delta_a_minus_b,mean_delta_a_minus_b,a_better_rate,b_better_rate,p_holm,significant_holm_0.05,p_label_holm
model+dataset+seq_len+pred_len+lr,mae,ALL,deep_ltsf,NN,RN,242,9057.0,2.2445838222083204e-07,-0.002198651432991028,-0.06480398897297127,0.628099173553719,0.371900826446281,8.978335288833282e-07,True,***
model+dataset+seq_len+pred_len+lr,mae,ALL,deep_ltsf,NN,RR,242,9778.0,6.288289684381646e-06,0.0022203773260116577,-0.36781418588289544,0.34710743801652894,0.6528925619834711,1.886486905314494e-05,True,***
model+dataset+seq_len+pred_len+lr,mae,ALL,deep_ltsf,NR,RN,242,12637.0,0.05824883638124425,-0.0007680505514144897,23.99018365076997,0.5537190082644629,0.4462809917355372,0.05824883638124425,False,ns
model+dataset+seq_len+pred_len+lr,mae,ALL,deep_ltsf,NR,RR,242,7444.0,2.7853018009458125e-11,0.002550780773162842,23.687173453860048,0.30165289256198347,0.6983471074380165,1.3926509004729064e-10,True,***
model+dataset+seq_len+pred_len+lr,mae,ALL,deep_ltsf,RN,RR,242,6892.0,7.843562283634118e-13,0.005208760499954224,-0.3030101969099242,0.2892561983471074,0.7107438016528925,4.706137370180471e-12,True,***
model+dataset+seq_len+pred_len+lr,mae,model=DLinear,deep_ltsf,NN,NR,50,629.0,0.9389922173111831,0.0008603930473327637,0.01399964839220047,0.46,0.54,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=DLinear,deep_ltsf,NN,RN,50,534.0,0.3230277659528582,9.37730073928833e-05,-0.009561370611190795,0.48,0.52,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=DLinear,deep_ltsf,NN,RR,50,524.0,0.27798803015155293,0.0006193071603775024,-0.0004976639151573182,0.48,0.52,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=DLinear,deep_ltsf,NR,RN,50,503.0,0.1976349682926415,-0.0013111084699630737,-0.023561019003391265,0.62,0.38,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=DLinear,deep_ltsf,NR,RR,50,509.0,0.21866240175859453,-7.768720388412476e-05,-0.014497312307357789,0.5,0.5,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=DLinear,deep_ltsf,RN,RR,50,612.0,0.8109402812359416,0.0007282495498657227,0.009063706696033479,0.42,0.58,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=GRU,deep_ltsf,NN,NR,30,97.0,0.004338232800364494,-0.020642444491386414,-0.03982958843310674,0.7333333333333333,0.26666666666666666,0.017352931201457977,True,*
model+dataset+seq_len+pred_len+lr,mae,model=GRU,deep_ltsf,NN,RN,30,97.0,0.004338232800364494,-0.026529699563980103,-0.060742854078610735,0.6666666666666666,0.3333333333333333,0.017352931201457977,True,*
model+dataset+seq_len+pred_len+lr,mae,model=GRU,deep_ltsf,NN,RR,30,111.0,0.011303061619400978,0.004022538661956787,0.03793652057647705,0.26666666666666666,0.7333333333333333,0.022606123238801956,True,*
model+dataset+seq_len+pred_len+lr,mae,model=GRU,deep_ltsf,NR,RN,30,186.0,0.3492113798856735,0.003907725214958191,-0.020913265645503998,0.4,0.6,0.3492113798856735,False,ns
model+dataset+seq_len+pred_len+lr,mae,model=GRU,deep_ltsf,NR,RR,30,17.0,3.855675458908081e-07,0.026683330535888672,0.07776610900958379,0.06666666666666667,0.9333333333333333,2.3134052753448486e-06,True,***
model+dataset+seq_len+pred_len+lr,mae,model=GRU,deep_ltsf,RN,RR,30,60.0,0.00016989745199680328,0.027471140027046204,0.09867937465508779,0.26666666666666666,0.7333333333333333,0.0008494872599840164,True,***
