block_definition,metric,subgroup,family,case,n_blocks,median,mean,mean_rank,wins_best_count,wins_best_rate
model+dataset+seq_len+pred_len,mae,ALL,shallow_ltsf,NN,80,0.38967963074598255,0.42155695081611466,2.625,21,0.2625
model+dataset+seq_len+pred_len,mae,ALL,shallow_ltsf,NR,80,0.3866046106280441,0.42873663745025203,2.5625,18,0.225
model+dataset+seq_len+pred_len,mae,ALL,shallow_ltsf,RN,80,0.3859263308565958,0.41605630199619903,2.5375,16,0.2
model+dataset+seq_len+pred_len,mae,ALL,shallow_ltsf,RR,80,0.38544356195833346,0.4220714109196556,2.275,25,0.3125
model+dataset+seq_len+pred_len,mae,model=KNN,shallow_ltsf,NN,16,0.5647492376231826,0.5693284659036342,2.25,5,0.3125
model+dataset+seq_len+pred_len,mae,model=KNN,shallow_ltsf,NR,16,0.5711201390782248,0.5804726226658452,3.0625,1,0.0625
model+dataset+seq_len+pred_len,mae,model=KNN,shallow_ltsf,RN,16,0.5679181640364332,0.5756207770824667,2.6875,2,0.125
model+dataset+seq_len+pred_len,mae,model=KNN,shallow_ltsf,RR,16,0.5669265085829631,0.5803296991319515,2.0,8,0.5
model+dataset+seq_len+pred_len,mae,model=OLS,shallow_ltsf,NN,16,0.3261100469805476,0.3335784552457756,2.6875,4,0.25
model+dataset+seq_len+pred_len,mae,model=OLS,shallow_ltsf,NR,16,0.3261586975088029,0.34142002359592993,1.9375,8,0.5
model+dataset+seq_len+pred_len,mae,model=OLS,shallow_ltsf,RN,16,0.32467835357904934,0.33660898399341643,3.0,1,0.0625
model+dataset+seq_len+pred_len,mae,model=OLS,shallow_ltsf,RR,16,0.3247662500555849,0.3465763924353348,2.375,3,0.1875
model+dataset+seq_len+pred_len,mae,model=RevIN-OLS,shallow_ltsf,NN,32,0.38678019559603233,0.42043565010259576,2.96875,5,0.15625
model+dataset+seq_len+pred_len,mae,model=RevIN-OLS,shallow_ltsf,NR,32,0.3854049639082472,0.4237780396142624,2.625,7,0.21875
model+dataset+seq_len+pred_len,mae,model=RevIN-OLS,shallow_ltsf,RN,32,0.37854246901925165,0.4005170258315492,2.25,11,0.34375
model+dataset+seq_len+pred_len,mae,model=RevIN-OLS,shallow_ltsf,RR,32,0.3800241958730106,0.40235052269408844,2.15625,9,0.28125
model+dataset+seq_len+pred_len,mae,model=Ridge,shallow_ltsf,NN,16,0.38308371707819805,0.36400653272597194,2.25,7,0.4375
model+dataset+seq_len+pred_len,mae,model=Ridge,shallow_ltsf,NR,16,0.3836334573626903,0.3742344617609607,2.5625,2,0.125
model+dataset+seq_len+pred_len,mae,model=Ridge,shallow_ltsf,RN,16,0.3828081526835217,0.36701769724201344,2.5,2,0.125
model+dataset+seq_len+pred_len,mae,model=Ridge,shallow_ltsf,RR,16,0.38340437990997056,0.37874991764281485,2.6875,5,0.3125
model+dataset,owa,ALL,deep_m4_official,NN,42,1.0707705,1.3563482857142857,1.2738095238095237,41,0.9761904761904762
model+dataset,owa,ALL,deep_m4_official,NR,42,1.070784,1.4024600476190476,1.7261904761904763,22,0.5238095238095238
model+dataset,owa,ALL,deep_m4_official,RN,42,6.9978795,9.965843452380952,3.4285714285714284,0,0.0
model+dataset,owa,ALL,deep_m4_official,RR,42,6.9978795,9.972014642857143,3.5714285714285716,0,0.0
model+dataset,owa,model=DLinear,deep_m4_official,NN,6,1.122579,1.1780696666666668,1.25,6,1.0
model+dataset,owa,model=DLinear,deep_m4_official,NR,6,1.1428090000000002,1.2128191666666666,1.75,3,0.5
model+dataset,owa,model=DLinear,deep_m4_official,RN,6,7.1536925,10.084299666666666,3.5,0,0.0
model+dataset,owa,model=DLinear,deep_m4_official,RR,6,7.1536925,10.084299666666666,3.5,0,0.0
model+dataset,owa,model=GRU,deep_m4_official,NN,6,1.0274625,1.4094601666666666,1.25,6,1.0
model+dataset,owa,model=GRU,deep_m4_official,NR,6,1.0314705,1.4136621666666667,1.75,3,0.5
model+dataset,owa,model=GRU,deep_m4_official,RN,6,6.8863605,9.9218815,3.4166666666666665,0,0.0
model+dataset,owa,model=GRU,deep_m4_official,RR,6,6.8863605,9.922303833333334,3.5833333333333335,0,0.0
model+dataset,owa,model=PatchTST,deep_m4_official,NN,6,1.1913615,1.2737718333333332,1.3333333333333333,6,1.0
model+dataset,owa,model=PatchTST,deep_m4_official,NR,6,1.1913615,1.496222666666667,1.6666666666666667,4,0.6666666666666666
model+dataset,owa,model=PatchTST,deep_m4_official,RN,6,7.036794,10.033489333333334,3.4166666666666665,0,0.0
model+dataset,owa,model=PatchTST,deep_m4_official,RR,6,7.036794,10.0707725,3.5833333333333335,0,0.0
model+dataset,owa,model=TimeFilter,deep_m4_official,NN,6,1.189801,1.4922041666666666,1.4166666666666667,6,1.0
model+dataset,owa,model=TimeFilter,deep_m4_official,NR,6,1.189801,1.4923205,1.5833333333333333,5,0.8333333333333334
model+dataset,owa,model=TimeFilter,deep_m4_official,RN,6,6.900459,9.911318999999999,3.4166666666666665,0,0.0
model+dataset,owa,model=TimeFilter,deep_m4_official,RR,6,6.900459,9.913394833333333,3.5833333333333335,0,0.0
model+dataset,owa,model=TimeMixer,deep_m4_official,NN,6,1.009776,1.1653443333333333,1.0833333333333333,6,1.0
model+dataset,owa,model=TimeMixer,deep_m4_official,NR,6,1.015112,1.2193314999999998,1.9166666666666667,1,0.16666666666666666
model+dataset,owa,model=TimeMixer,deep_m4_official,RN,6,6.9568455,9.9977325,3.5,0,0.0
model+dataset,owa,model=TimeMixer,deep_m4_official,RR,6,6.9568455,9.9977325,3.5,0,0.0
model+dataset,owa,model=TimesNet,deep_m4_official,NN,6,1.2995074999999998,1.5479168333333335,1.4166666666666667,5,0.8333333333333334
model+dataset,owa,model=TimesNet,deep_m4_official,NR,6,1.299521,1.547917,1.5833333333333333,4,0.6666666666666666
model+dataset,owa,model=TimesNet,deep_m4_official,RN,6,6.700987,9.872589833333333,3.4166666666666665,0,0.0
model+dataset,owa,model=TimesNet,deep_m4_official,RR,6,6.700987,9.872619666666667,3.5833333333333335,0,0.0
