dataset,architecture,capacity,condition,seed,run_id,status,duration_seconds,epochs_completed,best_val_mse,parameter_count,train_pairs,val_pairs,test_pairs,target_train_mean,target_train_std,mse,mae,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor,n_pairs
ETTm1,gru,64,info100,1,ETTm1__gru64__info100__seed1,completed,15.900104761123657,18,0.08229783177375793,23776,12000,2000,4000,17.124948501586914,9.173035621643066,0.09651611000299454,0.24069608747959137,0.07404981553554535,0.11898240447044373,0.04766673967242241,0.40075206756591797,0.4473574757575989,0.11183936893939972,4000
ETTm1,gru,64,info100,2,ETTm1__gru64__info100__seed2,completed,15.13317322731018,18,0.08335725963115692,23776,12000,2000,4000,17.124948501586914,9.173035621643066,0.0750313401222229,0.20293310284614563,0.04991846904158592,0.10014420747756958,0.0503755547106266,0.39499932527542114,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,info0,0,ETTm1__mlp128__info0__seed0,completed,12.051227331161499,18,0.2828596234321594,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.30796700716018677,0.3850769102573395,0.0817146748304367,0.5342191457748413,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,info0,1,ETTm1__mlp128__info0__seed1,completed,8.977391481399536,13,0.2834550440311432,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.32156240940093994,0.4033760726451874,0.0956580638885498,0.5474667549133301,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,info0,2,ETTm1__mlp128__info0__seed2,completed,8.34036660194397,12,0.28396084904670715,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.2972474694252014,0.37414881587028503,0.07125367969274521,0.5232413411140442,0.4473574757575989,0.0,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,info100,0,ETTm1__mlp128__info100__seed0,completed,15.740361452102661,18,0.07121522724628448,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.12217353284358978,0.2819259464740753,0.11262818425893784,0.13171885907649994,0.03766113147139549,0.3834972083568573,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,info100,1,ETTm1__mlp128__info100__seed1,completed,15.518764019012451,18,0.06946171075105667,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.08084981143474579,0.21861930191516876,0.0695512443780899,0.09214838594198227,0.034427039325237274,0.4107014834880829,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,info100,2,ETTm1__mlp128__info100__seed2,completed,16.255502700805664,18,0.0707828551530838,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.0913166031241417,0.23675285279750824,0.08238232880830765,0.10025084763765335,0.03707022964954376,0.41270801424980164,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,info50,0,ETTm1__mlp128__info50__seed0,completed,14.761370182037354,18,0.17662467062473297,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.21025727689266205,0.3223085105419159,0.0836954340338707,0.3368190824985504,0.24880138039588928,0.21054767072200775,0.4473574757575989,0.11183936893939972,4000
ETTm1,mlp,128,info50,1,ETTm1__mlp128__info50__seed1,completed,14.746249198913574,18,0.1755920648574829,28192,12000,2000,4000,17.124948501586914,9.173035621643066,0.19983817636966705,0.30679649114608765,0.07596627622842789,0.32371005415916443,0.2445880025625229,0.20024240016937256,0.4473574757575989,0.11183936893939972,4000
