model,dataset,seq_len,pred_len,selected_for_reversal,NN,NR,RN,RR,RN_over_NN,NR_over_NN,RR_over_NN,RN_over_NR,interaction,channel_group
GRU,weather,96,336,False,0.19052935020722953,0.21370937956221905,0.19766705486373126,0.19869079232342876,1.0374624940920567,1.121661199861217,1.0428356161784125,0.9249339232028548,0.8961521537916886,unselected
GRU,weather,96,336,True,0.37400783404009413,0.391483821941074,0.4013022957369685,0.36610507625155153,1.0729783154594252,1.0467262616191788,0.9788700741822017,1.0250801520921402,0.8715674168912922,selected
GRU,weather,336,96,False,0.11802365564190863,0.17598979194669725,0.13418866634707555,0.13513717489232388,1.1369641587294381,1.4911399836712533,1.145000755631047,0.7624798283057111,0.6753681618761428,unselected
GRU,weather,336,96,True,0.23591169611318033,0.31885006385855374,0.2849885944044217,0.2594275849405676,1.2080307975391622,1.3515653064762976,1.0996808942279206,0.8938012774896182,0.6735217704380839,selected
GRU,weather,336,336,False,0.17980641336709427,0.23765197311612687,0.19762565508294339,0.21192644143858078,1.0991023700554508,1.3217102141453354,1.1786367208488275,0.8315759069518648,0.8113450240243995,unselected
GRU,weather,336,336,True,0.38720358109567315,0.4202070422936231,0.40948632907820864,0.36854541347129266,1.057547887133383,1.0852354234549169,0.9518130292814355,0.9744870691435883,0.8293305091641409,selected
PatchTST,ETTh1,96,96,False,0.47820612229406834,0.47781226970255375,0.4791189469397068,0.4791189469397068,1.0019088518592347,0.9991763957566557,1.0019088518592347,1.002734708420038,1.000824283126425,unselected
PatchTST,ETTh1,96,96,True,0.25021479402979213,0.25737867752710974,0.2526565231382847,0.25030106057723356,1.0097585321362006,1.0286309349736715,1.0003447699716395,0.9816528920181133,0.963102684212327,selected
PatchTST,ETTh1,96,336,False,0.5901245176792145,0.5984684228897095,0.5844533517956734,0.589814305305481,0.9903898826202915,1.0141392281807051,0.999474327257316,0.9765817701352325,0.9951026114587292,unselected
PatchTST,ETTh1,96,336,True,0.3037810946504275,0.3122091044982274,0.31135180840889615,0.29463437944650644,1.0249216093160127,1.0277436943780136,0.9698904396455397,0.9972540964469659,0.9207616186611756,selected
PatchTST,ETTh1,336,96,False,0.49894315376877785,0.4997215960174799,0.49488571658730507,0.4902357514947653,0.9918679369566957,1.0015601822428508,0.982548307942015,0.9903228528270256,0.989060846640377,unselected
PatchTST,ETTh1,336,96,True,0.25605892390012736,0.25606555243333173,0.25165176267425216,0.24883379911382988,0.982788488060685,1.000025886749438,0.9717833509715305,0.9827630475199168,0.9887765344384155,selected
PatchTST,ETTh1,336,336,False,0.7347993403673172,0.7347993403673172,0.7133073061704636,0.7133073061704636,0.9707511520272868,1.0,0.9707511520272868,0.9707511520272868,1.0,unselected
PatchTST,ETTh1,336,336,True,0.33950838694969815,0.3842190355062485,0.340871604780356,0.2979974796374638,1.004015269969928,1.131692324181596,0.8777323067474483,0.8871804186672383,0.7724909416156437,selected
PatchTST,ETTh2,96,96,False,0.28286901605315506,0.2895136568695306,0.29593617049977183,0.29593617049977183,1.04619507158805,1.0234901683793,1.04619507158805,1.0221838019652922,0.9770489555200155,unselected
PatchTST,ETTh2,96,96,True,0.3046124577522278,0.29688327014446253,0.3109705845514933,0.30820208787918085,1.0208728390367974,0.9746261605162183,1.0117842525333383,1.0474506845743645,1.016899894069005,selected
PatchTST,ETTh2,96,336,False,0.39735748805105686,0.3880663863383233,0.39790118206292385,0.39790118206292385,1.0013682742321874,0.9766177762037298,1.0013682742321874,1.0253430754912805,1.0239420419799858,unselected
PatchTST,ETTh2,96,336,True,0.45221951603889465,0.44012438257535297,0.4465711961189906,0.4262420137723287,0.987509782927152,0.973253844572021,0.9425555480353668,1.0146477082362821,0.9807073257067029,selected
PatchTST,ETTh2,336,96,False,0.2936346922069788,0.2936346922069788,0.2882307793479413,0.2882307793479413,0.9815964768385461,1.0,0.9815964768385461,0.9815964768385461,1.0,unselected
PatchTST,ETTh2,336,96,True,0.35698360204696655,0.3214663565158844,0.323147714138031,0.2735024938980738,0.9052172488738462,0.9005073473195294,0.7661486195158355,1.0052302755422666,0.9398811550818137,selected
PatchTST,ETTh2,336,336,False,0.3911382001824677,0.41509337211027736,0.38834103383123875,0.39609325071796775,0.9928486495312294,1.0612447772082463,1.0126682858723297,0.9355510348357686,0.9611000367916501,unselected
PatchTST,ETTh2,336,336,True,0.4323713431755701,0.40912145376205444,0.42978355785210925,0.3485605468352635,0.9940149009310961,0.9462270342831793,0.8061601499193851,1.0505035947151085,0.8571031270180595,selected
PatchTST,ETTm1,96,96,False,0.22056197747588155,0.22056197747588155,0.21871483046561474,0.21871483046561474,0.9916252699970973,1.0,0.9916252699970973,0.9916252699970973,1.0,unselected
PatchTST,ETTm1,96,96,True,0.4671897192796071,0.49275414148966473,0.516354983051618,0.45633229116598767,1.1052361850937606,1.054719573558847,0.9767601304875431,1.0478957751437759,0.8379070091062059,selected
PatchTST,ETTm1,96,336,False,0.25848739407956595,0.2695151939988136,0.2609358550980687,0.2609358550980687,1.0094722647006495,1.0426628151771808,1.0094722647006495,0.9681675130316303,0.9590828266279632,unselected
