model,dataset,case,lr_tag,seq_len,pred_len,mae,mse,rmse,mape,mspe,result_dir
TimeFilter,weather,RN,0p0001,336,336,0.28428205847740173,0.25032636523246765,0.5003262758255005,14.281295776367188,24779594.0,long_term_forecast_TimeFilter_weather_RN_lr0p0001_s336_p336_TimeFilter_custom_ftM_sl336_ll168_pl336_dm64_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RN_lr_0p0001_0
TimesNet,weather,RN,0p0001,96,96,0.25746479630470276,0.20757471024990082,0.455603688955307,16.810771942138672,27281944.0,long_term_forecast_TimesNet_weather_RN_lr0p0001_s96_p96_TimesNet_custom_ftM_sl96_ll48_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0001_0
TimesNet,electricity,RR,0p0001,96,336,0.4380631446838379,0.3641027808189392,0.6034092903137207,3.2471704483032227,220625.71875,long_term_forecast_TimesNet_electricity_RR_lr0p0001_s96_p336_TimesNet_custom_ftM_sl96_ll48_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
TimesNet,illness,NN,0p0001,336,96,1.5841203927993774,5.12293004989624,2.2633891105651855,2.801771402359009,567.2254028320312,long_term_forecast_TimesNet_illness_NN_lr0p0001_s336_p96_TimesNet_custom_ftM_sl336_ll168_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
TimeFilter,ETTm2,RN,0p0001,96,96,0.26446524262428284,0.17617446184158325,0.41973140835762024,1.1455373764038086,245.97283935546875,long_term_forecast_TimeFilter_ETTm2_RN_lr0p0001_s96_p96_TimeFilter_ETTm2_ftM_sl96_ll48_pl96_dm64_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RN_lr_0p0001_0
TimeMixer,ETTm1,NR,0p01,336,336,0.3881523609161377,0.3592587113380432,0.5993819236755371,2.263580799102783,344.5028381347656,long_term_forecast_TimeMixer_ETTm1_NR_lr0p01_s336_p336_TimeMixer_ETTm1_ftM_sl336_ll0_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NR_lr_0p01_0
PatchTST,weather,NR,0p0001,336,96,0.20107604563236237,0.151940256357193,0.3897951543331146,9.666336059570312,10677023.0,long_term_forecast_PatchTST_weather_NR_lr0p0001_s336_p96_PatchTST_custom_ftM_sl336_ll168_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
DLinear,illness,RR,0p005,336,96,1.6964974403381348,3.850196361541748,1.9621917009353638,8.466019630432129,1079.8092041015625,long_term_forecast_DLinear_illness_RR_lr0p005_s336_p96_DLinear_custom_ftM_sl336_ll168_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p005_0
GRU,ETTh2,NN,0p001,96,96,0.3889482915401459,0.3592431843280792,0.5993689894676208,1.5943880081176758,333.3924560546875,long_term_forecast_GRU_ETTh2_NN_lr0p001_s96_p96_GRU_ETTh2_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NN_lr_0p001_0
TimesNet,exchange_rate,RR,0p0001,336,336,0.48365116119384766,0.4185123145580292,0.6469252705574036,1.0402028560638428,158.349853515625,long_term_forecast_TimesNet_exchange_rate_RR_lr0p0001_s336_p336_TimesNet_custom_ftM_sl336_ll168_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
