model,case,seasonal_pattern,frequency,horizon,series_count,lr_tag,target_mode,mse,mae,smape,mase,owa_naive2,owa_context,naive2_smape,naive2_mase,context_naive_smape,context_naive_mase
GRU,RN,Daily,1,14,4227,0p001,corrected_target_order,32434121.679165795,3286.460549216034,52.98769465477114,56.88450812905191,17.375638156245962,0.9817264014895781,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
GRU,RN,Hourly,24,48,414,0p001,corrected_target_order,91035656.13848089,1460.4413709902376,39.86684041747809,16.259146836304737,4.478684291286163,0.8607957642983695,18.38287811786554,2.3950400069486575,46.209194265980074,18.93141883042938
GRU,RR,Yearly,1,6,23000,0p001,corrected_target_order,42335887.26089401,4529.713445393309,107.91702764539356,21.109394814817144,5.957492629923384,1.023241762900661,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
GRU,RR,Quarterly,4,8,24000,0p001,corrected_target_order,30582903.015123047,3676.2275064223854,82.27879901751298,11.201476738581544,7.096996764390074,1.026499043938355,11.96423231426962,1.5308986751077838,79.51958255994295,11.000178859604093
GRU,RR,Monthly,12,18,48000,0p001,corrected_target_order,18432778.302557983,2679.258175945373,62.458932457149416,7.316817647168592,4.890965353989512,1.0162976945343276,15.550790003469528,1.2690727646806907,61.642684180483265,7.177898179217246
GRU,RR,Weekly,1,13,359,0p001,corrected_target_order,40362601.30566067,3806.3851363790013,80.79125526976591,77.14499143470626,18.297895846001197,0.9760202283822352,9.161286913982,2.777294993197484,84.04982421357096,77.86053376970602
GRU,RR,Daily,1,14,4227,0p001,corrected_target_order,32433349.71462363,3285.8423505608375,52.96779736471409,56.87802684880615,17.371382744572866,0.9814864706349516,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
GRU,RR,Hourly,24,48,414,0p001,corrected_target_order,90633443.55936077,1457.6254853083735,39.83422818384235,16.249601537088225,0.9672136992507573,1.1310341636894825,42.743468896500396,16.209237115149428,36.839002452974555,13.761956020447949
PatchTST,NN,Yearly,1,6,23000,0p0001,corrected_target_order,7740925.767476678,1550.4444253226627,26.81073568846639,6.3309939918068245,1.6167724670526533,1.616772467049043,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
PatchTST,NN,Quarterly,4,8,24000,0p0001,corrected_target_order,1945875.9309211455,578.8400127750817,10.334431706081089,1.2205429250000976,0.914257961344485,0.7935565860903533,11.011569928824954,1.371382270977276,12.52136683379731,1.602247176187081
PatchTST,NN,Monthly,12,18,48000,0p0001,corrected_target_order,1849350.903034254,561.7632229428035,13.08671342851684,0.9747942563944915,0.9119106985289245,0.79616954435478,14.42682875988102,1.0633594479711004,15.98828156281687,1.2597170382819949
PatchTST,NN,Weekly,1,13,359,0p0001,corrected_target_order,690483.973908413,446.7005758193272,11.780612928303848,3.8503757666209997,1.3361443422897747,1.3361443422897747,9.161286913981998,2.777294993197484,9.161286913981998,2.777294993197484
PatchTST,NN,Daily,1,14,4227,0p0001,corrected_target_order,536694.2166231734,190.87116519663667,3.1820338448352223,3.436580652774399,1.0465790404655233,1.0465790404663693,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
PatchTST,NN,Hourly,24,48,414,0p0001,corrected_target_order,15965931.257121917,668.8030099168891,24.424330918260598,5.521256775368196,1.8169667772377909,3.191412468028603,18.38287811786554,2.3950400069486575,13.912272896330165,1.1932102074200355
PatchTST,NR,Yearly,1,6,23000,0p0001,corrected_target_order,7836083.084744768,1552.829126571077,26.888401632645287,6.34574946819248,1.6210050433758048,1.621005043372185,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
PatchTST,NR,Quarterly,4,8,24000,0p0001,corrected_target_order,2169589.7127457964,648.3089429242317,11.465936504889639,1.431876349957168,0.9468343638495034,0.8308778941530264,11.96423231426962,1.5308986751077838,13.50497592468908,1.7617887436505335
PatchTST,NR,Monthly,12,18,48000,0p0001,corrected_target_order,2072964.9146555546,620.8640341080337,14.32592243090863,1.156844357086929,0.9164004960629182,0.7934278734021377,15.550790003469528,1.2690727646806907,17.662953110153197,1.4911939068277227
PatchTST,NR,Weekly,1,13,359,0p0001,corrected_target_order,678192.0484472197,450.26068795688883,11.91525632020872,3.8749313613687577,1.347913615400806,1.347913615400806,9.161286913982,2.777294993197484,9.161286913982,2.777294993197484
PatchTST,NR,Daily,1,14,4227,0p0001,corrected_target_order,537908.4854107761,191.61699441384786,3.2007249439706715,3.4543670923663274,1.0523605833586922,1.0523605833595444,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
PatchTST,NR,Hourly,24,48,414,0p0001,corrected_target_order,62238812.73369042,1255.1325539352938,36.80285141156021,11.854163479110392,0.7961692234641016,0.8236918738527468,42.743468896500396,16.209237115149428,41.95339841711752,15.391978324543457
PatchTST,RN,Yearly,1,6,23000,0p0001,corrected_target_order,61079492.50456525,5008.910989507216,110.09256703848635,22.7602239578512,6.231739638181567,1.0732897676658357,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
PatchTST,RN,Quarterly,4,8,24000,0p0001,corrected_target_order,30659536.784915537,3681.689833910364,82.55775686327746,11.226589240772611,7.8418479195978,1.0294433415434878,11.011569928824954,1.371382270977276,79.51623197600479,10.999598035603645
PatchTST,RN,Monthly,12,18,48000,0p0001,corrected_target_order,18331715.240421195,2670.9366767442843,62.119412927168554,7.276347914627818,5.574309133747805,1.008217517686732,14.42682875988102,1.0633594479711004,61.761637434184024,7.1997270372477145
PatchTST,RN,Weekly,1,13,359,0p0001,corrected_target_order,40434997.13093356,3814.914502738119,80.9789770018856,77.19827757426175,18.31773439847484,0.9774791469248192,9.161286913981998,2.777294993197484,84.04982421357094,77.86053376970602
PatchTST,RN,Daily,1,14,4227,0p0001,corrected_target_order,41915714.447557926,3354.42206094934,53.76956677020577,57.396737471217456,17.582135037633073,0.9933825026408756,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
PatchTST,RN,Hourly,24,48,414,0p0001,corrected_target_order,112395228.16813591,1626.2180629204665,43.40932830644241,16.633409168738204,4.653170002571122,0.9090114374401046,18.38287811786554,2.3950400069486575,46.209194265980074,18.93141883042938
PatchTST,RR,Yearly,1,6,23000,0p0001,corrected_target_order,61046205.33253319,5010.238810404935,110.21574424582691,22.767110967795485,6.236374759276811,1.0740445363126796,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
PatchTST,RR,Quarterly,4,8,24000,0p0001,corrected_target_order,30652841.449238356,3681.4765515111194,82.55861523393287,11.22533984407808,7.116484451249125,1.0293431299506317,11.96423231426962,1.5308986751077838,79.51958255994295,11.000178859604093
PatchTST,RR,Monthly,12,18,48000,0p0001,corrected_target_order,18285254.5909719,2666.5654422776324,62.02524844008231,7.263914494454998,4.856178008048968,1.0090948272566245,15.550790003469528,1.2690727646806907,61.642684180483265,7.177898179217246
PatchTST,RR,Weekly,1,13,359,0p0001,corrected_target_order,40458496.50687498,3820.256029258367,81.0952413964004,77.21239883961054,18.326622086349033,0.9782614697249036,9.161286913982,2.777294993197484,84.04982421357096,77.86053376970602
PatchTST,RR,Daily,1,14,4227,0p0001,corrected_target_order,41914833.835438095,3354.417351609174,53.76232669833491,57.39642054473672,17.5808979547869,0.9933128580949017,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
PatchTST,RR,Hourly,24,48,414,0p0001,corrected_target_order,86300638.91525818,1439.103535740646,38.197008458725094,14.659680927132088,0.8990183452007923,1.0510478151563611,42.743468896500396,16.209237115149428,36.839002452974555,13.761956020447949
TimeFilter,NN,Yearly,1,6,23000,0p0001,corrected_target_order,3599830.6850128393,898.2929969140611,14.72356625876725,3.3003751108562778,0.8656859491408173,0.8656859491388901,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
TimeFilter,NN,Quarterly,4,8,24000,0p0001,corrected_target_order,2227667.2773709437,656.6368728462464,11.655411174403833,1.4479640976980537,1.0571561620038568,0.9172750394173673,11.011569928824954,1.371382270977276,12.52136683379731,1.602247176187081
TimeFilter,NN,Monthly,12,18,48000,0p0001,corrected_target_order,1942627.700695748,586.7052451894427,13.572533426038348,1.047291938224754,0.9628370604235429,0.840137930196966,14.42682875988102,1.0633594479711004,15.98828156281687,1.2597170382819949
TimeFilter,NN,Weekly,1,13,359,0p0001,corrected_target_order,877094.3485883928,521.3222245429183,13.090116446647542,5.213751344605796,1.6530640149384017,1.6530640149384017,9.161286913981998,2.777294993197484,9.161286913981998,2.777294993197484
TimeFilter,NN,Daily,1,14,4227,0p0001,corrected_target_order,605779.3062041911,236.24174003952245,4.0008861396412945,4.363846424758209,1.322445855570995,1.3224458555720362,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
TimeFilter,NN,Hourly,24,48,414,0p0001,corrected_target_order,61799855.24979185,1223.2437479986997,34.18708741553648,10.356987539528701,3.092036436439198,5.568634212989422,18.38287811786554,2.3950400069486575,13.912272896330165,1.1932102074200355
TimeFilter,NR,Yearly,1,6,23000,0p0001,corrected_target_order,3960065.026027811,984.0416667115945,16.048932628289535,3.712973385310399,0.9581439497121633,0.9581439497100263,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
TimeFilter,NR,Quarterly,4,8,24000,0p0001,corrected_target_order,2350379.010758054,685.1586176261,12.134204173875636,1.526345008388273,1.0056160804874705,0.8824298679090541,11.96423231426962,1.5308986751077838,13.50497592468908,1.7617887436505335
TimeFilter,NR,Monthly,12,18,48000,0p0001,corrected_target_order,2112701.700452442,627.8203121036163,14.508233235983713,1.1739494154500334,0.9290014773014595,0.8043240548260517,15.550790003469528,1.2690727646806907,17.662953110153197,1.4911939068277227
TimeFilter,NR,Weekly,1,13,359,0p0001,corrected_target_order,875775.8745354483,515.9006043367903,13.12328178167969,5.21135572902146,1.6544428097530912,1.6544428097530912,9.161286913982,2.777294993197484,9.161286913982,2.777294993197484
TimeFilter,NR,Daily,1,14,4227,0p0001,corrected_target_order,564571.8896300063,232.9497433041653,3.9693319762177657,4.333807325788496,1.312683644535137,1.3126836445361674,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
TimeFilter,NR,Hourly,24,48,414,0p0001,corrected_target_order,71040375.27091561,1318.0288795962238,36.319597375527415,11.426010445921792,0.7773091966277972,0.8040241420076291,42.743468896500396,16.209237115149428,41.95339841711752,15.391978324543457
TimeFilter,RN,Yearly,1,6,23000,0p0001,corrected_target_order,42422198.716436766,4520.128598597336,107.95973539297418,21.015883495886147,5.947034979336188,1.021200822300222,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
TimeFilter,RN,Quarterly,4,8,24000,0p0001,corrected_target_order,30686832.698757544,3686.01362564887,82.8546579939722,11.222622715772806,7.853883067991551,1.031129959892487,11.011569928824954,1.371382270977276,79.51623197600479,10.999598035603645
TimeFilter,RN,Monthly,12,18,48000,0p0001,corrected_target_order,18711474.951372582,2719.526294190626,62.89361096203182,7.294029984803105,5.60945526811809,1.015713114579394,14.42682875988102,1.0633594479711004,61.761637434184024,7.1997270372477145
TimeFilter,RN,Weekly,1,13,359,0p0001,corrected_target_order,40470300.31113155,3830.9647353980718,81.24393804275385,77.17534973601535,18.328067577439977,0.9789081244681304,9.161286913981998,2.777294993197484,84.04982421357094,77.86053376970602
TimeFilter,RN,Daily,1,14,4227,0p0001,corrected_target_order,31588185.138661,3268.3422301658406,52.79804382180314,56.77272656883419,17.327451317284222,0.9790069262901923,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
TimeFilter,RN,Hourly,24,48,414,0p0001,corrected_target_order,106249272.13367912,1609.696057741495,41.00680299828682,15.743408531309326,4.402022393902624,0.8595093399598046,18.38287811786554,2.3950400069486575,46.209194265980074,18.93141883042938
TimeFilter,RR,Yearly,1,6,23000,0p0001,corrected_target_order,42332340.326648295,4517.899113290663,108.0363046056769,21.0113149481681,5.948802914294257,1.021457511880975,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
TimeFilter,RR,Quarterly,4,8,24000,0p0001,corrected_target_order,30665035.54376684,3684.5005289337623,82.79556320517788,11.21948935131423,7.124475995329564,1.030567074610718,11.96423231426962,1.5308986751077838,79.51958255994295,11.000178859604093
TimeFilter,RR,Monthly,12,18,48000,0p0001,corrected_target_order,18688961.853996992,2718.1773220322575,62.87146966370911,7.288815428644327,4.893196991642549,1.0176933059393876,15.550790003469528,1.2690727646806907,61.642684180483265,7.177898179217246
TimeFilter,RR,Weekly,1,13,359,0p0001,corrected_target_order,40505915.79564415,3833.2401034113554,81.3325089904424,77.18701828362512,18.335002260694516,0.9795099523277683,9.161286913982,2.777294993197484,84.04982421357096,77.86053376970602
TimeFilter,RR,Daily,1,14,4227,0p0001,corrected_target_order,31589178.66163898,3268.3967863834946,52.79777309026846,56.77548422835263,17.32782744283449,0.9790282800030148,3.0452517800791794,3.2784242959595575,54.108774197020836,57.79936807521924
TimeFilter,RR,Hourly,24,48,414,0p0001,corrected_target_order,104923316.73292038,1554.8783922120756,40.80237861433997,15.763594411016294,0.9635471544828473,1.1265168221840545,42.743468896500396,16.209237115149428,36.839002452974555,13.761956020447949
TimeMixer,NN,Yearly,1,6,23000,0p01,corrected_target_order,3428457.711589393,836.9815126560467,13.575647276156879,3.0460741643443736,0.7985718916677464,0.7985718916659685,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
TimeMixer,NN,Quarterly,4,8,24000,0p01,corrected_target_order,1969720.8951288522,585.4779042291641,10.471465703166716,1.241013380835473,0.9279436737283897,0.8054166379514761,11.011569928824954,1.371382270977276,12.52136683379731,1.602247176187081
TimeMixer,NN,Monthly,12,18,48000,0p01,corrected_target_order,1864662.8890141519,557.1061601412738,12.943802424100811,0.9625295656364828,0.9011907844403267,0.7868322681784506,14.42682875988102,1.0633594479711004,15.98828156281687,1.2597170382819949
TimeMixer,NN,Weekly,1,13,359,0p01,corrected_target_order,866438.3935074068,519.2501343614313,13.28242506624498,4.889259651311052,1.6051410776592516,1.6051410776592516,9.161286913981998,2.777294993197484,9.161286913981998,2.777294993197484
TimeMixer,NN,Daily,1,14,4227,0p01,corrected_target_order,469740.4911936873,197.93076145373902,3.3106565085562107,3.5933595603237647,1.0916083106366454,1.091608310637516,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
