model,dataset,case,lr_tag,seq_len,pred_len,mae,mse,rmse,mape,mspe,result_dir
DLinear,ETTh1,NN,0p003,96,720,0.5046208500862122,0.5065279006958008,0.7117077112197876,8.875338554382324,31855.33203125,long_term_forecast_DLinear_ETTh1_NN_lr0p003_s96_p720_DLinear_ETTh1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p003_0
TimeMixer,ETTh1,RR,0p003,96,720,0.4788705110549927,0.500742495059967,0.7076315879821777,9.969544410705566,33321.87109375,long_term_forecast_TimeMixer_ETTh1_RR_lr0p003_s96_p720_TimeMixer_ETTh1_ftM_sl96_ll0_pl720_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RR_lr_0p003_0
TimeFilter,illness,NN,0p0001,336,96,1.1506298780441284,2.948430061340332,1.7170993089675903,2.183698892593384,269.22607421875,long_term_forecast_TimeFilter_illness_NN_lr0p0001_s336_p96_TimeFilter_custom_ftM_sl336_ll168_pl96_dm64_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
TimesNet,electricity,NN,0p0001,96,96,0.4219893515110016,0.34467121958732605,0.5870870351791382,3.2969486713409424,350976.625,long_term_forecast_TimesNet_electricity_NN_lr0p0001_s96_p96_TimesNet_custom_ftM_sl96_ll48_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
DLinear,ETTm1,NN,0p0003,96,720,0.45361289381980896,0.4773826003074646,0.6909288167953491,2.157486915588379,315.5041198730469,long_term_forecast_DLinear_ETTm1_NN_lr0p0003_s96_p720_DLinear_ETTm1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0003_0
DLinear,ETTh1,RN,0p01,96,192,0.4253058433532715,0.4311608374118805,0.6566283702850342,8.929226875305176,35779.5703125,long_term_forecast_DLinear_ETTh1_RN_lr0p01_s96_p192_DLinear_ETTh1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p01_0
iTransformer,ETTh2,NR,0p0001,96,720,0.4975854456424713,0.5151035785675049,0.7177071571350098,2.2923190593719482,851.0574340820312,long_term_forecast_iTransformer_ETTh2_NR_lr0p0001_s96_p720_iTransformer_ETTh2_ftM_sl96_ll48_pl720_dm128_nh8_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
TimesNet,ETTh1,NN,0p0001,96,336,0.4748556315898895,0.5031553506851196,0.7093344330787659,9.989768981933594,35650.046875,long_term_forecast_TimesNet_ETTh1_NN_lr0p0001_s96_p336_TimesNet_ETTh1_ftM_sl96_ll48_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
TimeFilter,exchange_rate,RR,0p0001,96,96,0.20612354576587677,0.0884234830737114,0.2973608672618866,0.9069498181343079,364.1618957519531,long_term_forecast_TimeFilter_exchange_rate_RR_lr0p0001_s96_p96_TimeFilter_custom_ftM_sl96_ll48_pl96_dm64_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
PatchTST,ETTh1,RN,0p0003,96,96,0.41150417923927307,0.3933219015598297,0.6271538138389587,9.666581153869629,45781.1875,long_term_forecast_PatchTST_ETTh1_RN_lr0p0003_s96_p96_PatchTST_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0003_0
TimeMixer,electricity,RN,0p01,336,96,0.22779034078121185,0.1333499252796173,0.3651711046695709,2.3860208988189697,602454.25,long_term_forecast_TimeMixer_electricity_RN_lr0p01_s336_p96_TimeMixer_custom_ftM_sl336_ll0_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RN_lr_0p01_0
DLinear,ETTh1,NR,0p0003,96,720,0.5047203302383423,0.5491715669631958,0.7410610914230347,6.621612548828125,15771.8564453125,long_term_forecast_DLinear_ETTh1_NR_lr0p0003_s96_p720_DLinear_ETTh1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0003_0
TimeMixer,ETTh1,RR,0p0003,96,336,0.4794577658176422,0.5259504914283752,0.7252244353294373,9.253972053527832,30639.03125,long_term_forecast_TimeMixer_ETTh1_RR_lr0p0003_s96_p336_TimeMixer_ETTh1_ftM_sl96_ll0_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RR_lr_0p0003_0
PatchTST,ETTh1,RR,0p0001,96,192,0.4187600016593933,0.40365394949913025,0.6353376507759094,8.806839942932129,29087.78125,long_term_forecast_PatchTST_ETTh1_RR_lr0p0001_s96_p192_PatchTST_ETTh1_ftM_sl96_ll48_pl192_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
DLinear,ETTh2,RN,0p0003,96,720,0.6626024842262268,0.8027303218841553,0.8959521651268005,1.5527927875518799,207.66156005859375,long_term_forecast_DLinear_ETTh2_RN_lr0p0003_s96_p720_DLinear_ETTh2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0003_0
PatchTST,ETTm2,NN,0p0001,336,96,0.26777270436286926,0.1789667308330536,0.4230445921421051,1.1233272552490234,230.0026397705078,long_term_forecast_PatchTST_ETTm2_NN_lr0p0001_s336_p96_PatchTST_ETTm2_ftM_sl336_ll168_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
