model,dataset,seq_len,pred_len,lr_tag,NN,NR,RN,RR,RN_vs_NN,NR_vs_NN,RR_vs_NN,RN_vs_NR,train_main,test_main,interaction,abs_log_interaction,formal_lr
GRU,ETTm2,336,96,0p001,0.24220284819602966,0.23513157665729523,0.22276344895362854,0.22738157212734222,0.9197391798354592,0.9708043419332079,0.9388063510438504,0.9473991206136756,0.9430929495047015,0.9954547444521746,1.0514282016123015,0.050149431957979114,True
GRU,ETTm2,336,336,0p001,0.3222545087337494,0.3388790190219879,0.326075941324234,0.33813491463661194,1.0118584301752684,1.0515881386844268,1.0492790805790808,0.9622193261338402,1.004806752485839,1.0442595832315213,0.9861104957323887,0.01398686602096293,True
GRU,electricity,96,96,0p001,0.3053362965583801,0.8550247550010681,0.8669112324714661,0.27046847343444824,2.8392013731839874,2.80027223962084,0.8858051809858604,1.0139019103258398,0.9476917036558303,0.9346976211448982,0.11141451257989923,2.1944976854685607,True
GRU,electricity,96,336,0p001,0.3985254764556885,0.8639839887619019,0.8630397319793701,0.8236969709396362,2.165582335299787,2.1679517115086293,2.066861517274221,0.9989070899521125,1.436872514718825,1.4384446052812665,0.4402375414209577,0.8204408308797057,True
GRU,electricity,336,96,0p001,0.26127180457115173,0.9893072843551636,1.0078023672103882,0.2491573542356491,3.857294777232401,3.7865061099072674,0.9536327681611603,1.0186949829923468,0.9856271691379442,0.9675390431812395,0.06529195527352333,2.728886446712893,True
GRU,electricity,336,336,0p001,0.8175690174102783,0.8417587876319885,0.8612418174743652,0.8032966256141663,1.0534178755971262,1.0295874350746967,0.9825428905790472,1.023145620964868,1.0026387464616136,0.9799570324271968,0.9059153114397175,0.0988094525403394,True
GRU,exchange_rate,96,96,0p001,0.10968121141195297,0.10914676636457443,0.10009797662496567,0.10975650697946548,0.9126264684386689,0.9951272871579507,1.0006864946743679,0.9170952100460421,0.9579795358062858,1.044580241301436,1.1018598116040417,0.09699948993799422,True
GRU,exchange_rate,96,336,0p001,0.3974972069263458,0.31778186559677124,0.3392960727214813,0.3219267427921295,0.8535810234871691,0.7994568516695378,0.8098842889524527,1.067701179500309,0.9299002153851255,0.8709367688629179,1.186815456513841,0.1712736330384995,True
GRU,exchange_rate,336,96,0p001,0.19395747780799866,0.1807098388671875,0.1604161411523819,0.16497784852981567,0.8270686078480572,0.9316982305063526,0.8505877184747146,0.8877000951247572,0.8689457972750397,0.9788731600315062,1.1038302713268073,0.09878619629552755,True
GRU,exchange_rate,336,336,0p001,0.45817670226097107,0.5026340484619141,0.36335694789886475,0.4335835874080658,0.793049812672277,1.0970310056830883,0.9463239515856103,0.7229055592448534,0.8271050993965611,1.144139907100112,1.0877283879813329,0.08409147386814014,True
GRU,illness,96,96,0p001,4.221892356872559,3.168595552444458,5.065069675445557,2.1117184162139893,1.1997154942144466,0.7505154761434162,0.5001829127112758,1.5985219923502185,0.8941774914225721,0.559377659926913,0.5555087849400654,0.5878708555539348,True
GRU,illness,336,96,0p001,4.841673374176025,1.344730257987976,5.673738479614258,0.7615788578987122,1.1718548611470174,0.2777408044830838,0.15729662020588503,4.219239097143146,0.8146606961313075,0.1930823727631164,0.48328784902200644,0.7271428421355352,True
GRU,weather,96,96,0p001,0.1745471954345703,0.22099827229976654,0.22001026570796967,0.17331567406654358,1.2604629089582902,1.266123306934534,0.9929444791996765,0.9955293469875786,0.9942360730593994,0.9987009183284324,0.6221840759009173,0.474519288062253,True
GRU,weather,96,336,0p001,0.28264710307121277,0.30785229802131653,0.30985695123672485,0.27288153767585754,1.0962679180853185,1.08917549366764,0.9654496179538242,1.006511737051479,0.9857668953674547,0.9793893693234069,0.8085652061455102,0.21249395244959057,True
GRU,weather,336,96,0p001,0.17858771979808807,0.23426032066345215,0.22890275716781616,0.17246787250041962,1.2817385060216595,1.31173812470593,0.9657319814341794,0.9771298720992836,0.9714142100571554,0.9941505605290232,0.574394193587262,0.5544393699564892,True
GRU,weather,336,336,0p001,0.2678135335445404,0.2999340891838074,0.3024774193763733,0.2898833751678467,1.1294329131655623,1.1199362676491662,1.0824074920009068,1.0084796303064014,1.0447898867111767,1.036004947758581,0.8557305586716013,0.15579972029721847,True
PatchTST,ETTh1,96,96,0p0001,0.3792155385017395,0.36952781677246094,0.38830938935279846,0.36873865127563477,1.0239806915270093,0.9744532574599811,0.9723722100958775,1.0508258694687183,1.0108382032359182,0.961946439086985,0.974495323142969,0.02583555928362741,True
PatchTST,ETTh1,96,192,0p0001,0.42394012212753296,0.43195462226867676,0.440938800573349,0.40365394949913025,1.040096885287735,1.018904792735642,0.9521484955785806,1.0207988937761245,0.985876326420924,0.9657889839339309,0.8984569750901583,0.10707645916921242,True
PatchTST,ETTh1,96,336,0p0001,0.4655812382698059,0.4792364537715912,0.47342148423194885,0.45147451758384705,1.0168396948108969,1.0293293938401187,0.9697008394531054,0.9878661785974783,0.9787413665791929,0.9907631091984135,0.9264690275497495,0.07637466333546963,True
PatchTST,ETTh1,336,96,0p0001,0.3824516236782074,0.36021387577056885,0.395170122385025,0.36916399002075195,1.0332551829287535,0.9418547431077211,0.9652566943508767,1.097043031836788,1.0290423365787442,0.9380145597897015,0.9918621111376685,0.008171182228066159,True
PatchTST,ETTh1,336,336,0p0001,0.4621369242668152,0.4529702067375183,0.44160932302474976,0.41556215286254883,0.9555811272284017,0.9801644987709217,0.8992186753348963,0.974919136967982,0.9363041679406267,0.9603916185834153,0.9600609064363802,0.040758552328190846,True
