model,dataset,seq_len,pred_len,NN,NR,RN,RR,RN_vs_NN,NR_vs_NN,RR_vs_NN,RN_vs_NR,train_main,test_main,interaction,abs_log_interaction
OLS,weather,336,720,0.3232805187785095,0.3010670001802972,0.3199544139267567,0.2998794202922481,0.9897113971967126,0.931287172260969,0.9276136447235341,1.0627349185900434,0.9928783466307837,0.9342671716744376,1.0064099824633708,0.006389525896732943
RevIN-OLS,ETTh1,96,96,0.3877805307048282,0.3861475104045938,0.3849447390529718,0.384686281552737,0.9926871221546318,0.9957888027610199,0.9920206175733807,0.9968852023664175,0.9944499354423519,0.9975571240115867,1.0035547524488104,0.003548449249449938
RevIN-OLS,ETTh1,96,192,0.441069516182786,0.4414641588067448,0.4341594132265543,0.4360205642409049,0.9843333018884759,1.0008947401928254,0.9885529338196459,0.9834533666335795,0.9859998533774905,1.0025893314622816,1.0033890193196089,0.0033832895355509892
RevIN-OLS,ETTh1,96,336,0.4863167475362365,0.4896081699092814,0.4715157974478554,0.4840750748225708,0.9695652058799841,1.0067680629748406,0.9953905089120981,0.9630472415017537,0.9790853302061178,1.0166534807569303,1.0197343368752092,0.019542139328222106
RevIN-OLS,ETTh1,96,720,0.487736560739837,0.5054957343445979,0.4496993904738839,0.5349604785739234,0.9220128788207812,1.0364114053246745,1.0968225916106298,0.8896205445866779,0.9878035792927762,1.1103650711570678,1.1478026317754382,0.1378493595762696
RevIN-OLS,ETTh1,336,96,0.3713105402887792,0.3526338539886132,0.3714071363991281,0.3529612909367123,1.000260149120124,0.9497006298672788,0.9505824711095028,1.0532373230708618,1.0005942920232243,0.9500178830596799,1.0006682235908626,0.0006680004288881084
RevIN-OLS,ETTh1,336,192,0.4077820563253582,0.3940351368820796,0.4050153362579005,0.3931338669394534,0.9932151990884802,0.9662885621619645,0.9640783865825194,1.0278660412436946,0.995461417969166,0.9684738847531923,1.0045282409404486,0.0045180193031826655
RevIN-OLS,ETTh1,336,336,0.4374602488995869,0.4105882710509581,0.4273271600846958,0.417354789257698,0.9768365495142005,0.9385727550875212,0.9540404878101191,1.0407680642968495,0.9964611742355843,0.9574286610233385,1.040583563074118,0.03978167412574869
RevIN-OLS,ETTh1,336,720,0.4577394940131719,0.4237639186194205,0.41493619873528,0.4726189266039828,0.90648983573032,0.9257753026817176,1.0325063333739404,0.9791683069363236,1.005483703672413,1.0268752537737116,1.230337311558879,0.20728836882796145
RevIN-OLS,ETTh2,96,96,0.3836778179515689,0.3868333122904128,0.3426978072420585,0.3414356086924678,0.8931916081875673,1.0082243335194379,0.8899018726580818,0.8859056248619566,0.887901500484701,1.00225292126693,0.9881896744464578,0.011880621475048916
RevIN-OLS,ETTh2,96,192,0.8629460838396449,0.9145200888257464,0.4996567392136108,0.4841666124827012,0.5790126968192586,1.059765037413027,0.5610624134574211,0.5463595008122516,0.5536621534303331,1.0133660211037328,0.9143521715717865,0.08953947367466536
RevIN-OLS,ETTh2,96,336,2.140319257108673,2.5591705471444985,0.5059719946488119,0.5122490794618839,0.2364002440142142,1.1956957069113352,0.2393330236881922,0.19770936923815857,0.21752788591638944,1.1002406550311619,0.8467087292624805,0.16639852864041008
RevIN-OLS,ETTh2,96,720,5.322574292908107,7.125882954190162,0.6831219872494032,0.8287069294646427,0.12834428411071822,1.3388038497996761,0.15569663923128826,0.09586489023759698,0.12217136010649217,1.274411933333421,0.9061200783469937,0.09858344491454801
RevIN-OLS,ETTh2,336,96,0.4897857205453565,0.4805755720918658,0.3809795237617134,0.3611698984277831,0.777849389601453,0.9811955553885164,0.7374038957804548,0.7927567398055059,0.7645795631187068,0.9644567175881568,0.966171761623562,0.03441365351169268
RevIN-OLS,ETTh2,336,192,0.8106261273273218,0.8205043745572568,0.8568526647128923,0.8679508809792127,1.057025718549169,1.0121859472535188,1.0707166370776795,1.0442999346289275,1.0574257960284144,1.0125690531658904,1.0007571304758398,0.0007568439971531271
RevIN-OLS,ETTh2,336,336,2.1525821413213855,2.4349567590726493,1.676466605809107,1.8668317431362036,0.7788165541408747,1.131179485479669,0.8672522675442383,0.6884995388778844,0.7727242627839556,1.122330835607153,0.9844161944053849,0.0157065095589188
RevIN-OLS,ETTh2,336,720,7.018521961261518,10.194698536023784,3.8566350785468457,5.396303303342424,0.5494939105175428,1.4525420868229892,0.7688660565753199,0.37829809924433927,0.5393149059463628,1.4256347230495183,0.9632944978044844,0.03739610105415492
RevIN-OLS,ETTm1,96,96,0.554379438188006,0.5569451125354166,0.6308674700157745,0.6337182629632185,1.1379705424821858,1.004628011377544,1.1431128561234742,1.1327282631924651,1.1379087134518837,1.0045734272091154,0.9998913375200424,0.00010866838415254407
RevIN-OLS,ETTm1,96,192,1.1232996970776772,1.118306802104032,1.407420088891209,1.3984370988528347,1.2529337384784183,0.9955551532804341,1.2449367719860887,1.2585277012025915,1.2517137906846865,0.9945858080744715,0.9980536019724741,0.0019482947217142176
RevIN-OLS,ETTm1,96,336,1.6147451182894392,1.5953497568706765,1.9803252414277417,1.9541166452425336,1.226401132288652,0.9879885926273559,1.2101703377884205,1.241311024682265,1.2256417837362705,0.9873768615323422,0.9987620470168096,0.0012387198799714753
RevIN-OLS,ETTm1,96,720,1.5093266770400935,1.4806386232974602,2.522943699855279,2.4598152867240657,1.671569010363593,0.9809928134319518,1.6297434638523411,1.7039564280962431,1.6664368729054917,0.9779809186595984,0.9938689232096732,0.006149949019228601
RevIN-OLS,ETTm1,336,96,0.3078971966160901,0.3034963238073767,0.309346284950528,0.305131705765806,1.0047064031448287,0.9857066811355195,0.99101813566126,1.0192752290036442,1.005047380561183,0.9860412104232443,1.0006788754919271,0.0006786451601988454
RevIN-OLS,ETTm1,336,192,0.3420692302567247,0.3373686006265573,0.3417555895685054,0.3374911848501465,0.9990831075686523,0.9862582506276887,0.986616611487849,1.0130035484446407,0.9997230258384662,0.9868899545055244,1.0012814213363521,0.0012806010167400752
RevIN-OLS,ETTm1,336,336,0.3762307654699949,0.3745688155433846,0.3737836209482228,0.3731526794707091,0.9934956288895858,0.9955826315146393,0.9918186222877319,0.9979037374106472,0.9948565273517618,0.996946388770131,1.0027414927806713,0.00273774174340182
RevIN-OLS,ETTm1,336,720,0.4340979772709986,0.4349228989626758,0.4274981888443663,0.4301485796807042,0.9847965464660248,1.0019003122218242,0.9909020594495218,0.9829286750915669,0.9869073150201205,1.004047740216942,1.004291303873464,0.004282122486373002
RevIN-OLS,ETTm2,96,96,0.1877804780116398,0.1893842797594535,0.2508362527875521,0.2566059165840976,1.3357951552983252,1.0085408332367451,1.366520733684529,1.3244829671509792,1.3453376661730014,1.015745539609982,1.0143384189141538,0.014236595951691453
RevIN-OLS,ETTm2,96,192,0.2629625745513069,0.2623326746960938,0.4816109297856533,0.4915833814166459,1.8314808888961713,0.997604602646259,1.8694043525221593,1.8358785475106683,1.8525656121763956,1.0090894164477022,1.023157316238816,0.02289325446124323
RevIN-OLS,ETTm2,96,336,0.3482448279244892,0.3474301683130715,0.621618482464167,0.6280859988291483,1.7850042057163131,0.9976606698905681,1.8035759571003243,1.7891897110789259,1.7963684325864853,1.0040122752009515,1.0127735296098357,0.012692636214959295
RevIN-OLS,ETTm2,96,720,0.9557278499274152,0.9599219202406564,0.921483851626121,0.9330288019337172,0.9641697180804191,1.0043883520957977,0.9762494647451971,0.959957088379752,0.9680690025556499,1.008450288324439,1.0081047332714688,0.00807206630676076
RevIN-OLS,ETTm2,336,96,0.1700401494741986,0.1720259488422111,0.1692585782182311,0.1703586999353493,0.9954036075692458,1.0116784146223878,1.0018733837986835,0.9839130628686819,0.9928526122541921,1.0090857106413917,0.9948810181470452,0.005132128725486164
