model,dataset,seq_len,pred_len,mse_RN_vs_NN,mse_NR_vs_NN,mse_RR_vs_NN,mse_RN_vs_NR,mse_train_main,mse_test_main,mse_interaction,mse_abs_log_interaction,mae_RN_vs_NN,mae_NR_vs_NN,mae_RR_vs_NN,mae_RN_vs_NR,mae_train_main,mae_test_main,mae_interaction,mae_abs_log_interaction
GRU,exchange_rate,96,336,0.8535810234871691,0.7994568516695378,0.8098842889524527,1.067701179500309,0.9299002153851255,0.8709367688629179,1.186815456513841,0.1712736330384995,0.9373667191149204,0.9091031864814492,0.9087062918224279,1.0310894660295506,0.9679656425787436,0.9387794895297691,1.0663525825996139,0.06424402396467331
GRU,exchange_rate,336,96,0.8270686078480572,0.9316982305063526,0.8505877184747146,0.8877000951247572,0.8689457972750397,0.9788731600315062,1.1038302713268073,0.09878619629552755,0.9091661019149186,0.9652830989823652,0.9239516128219073,0.9418647263931099,0.932865174079823,0.9904449629961715,1.052813125958072,0.05146574917653693
GRU,exchange_rate,336,336,0.793049812672277,1.0970310056830883,0.9463239515856103,0.7229055592448534,0.8271050993965611,1.144139907100112,1.0877283879813329,0.08409147386814014,0.8963826282500713,1.0348942836441257,0.9505160038907602,0.8661586428844503,0.9073575105601825,1.0475650367449238,1.0246369520785708,0.024338356755104804
GRU,illness,96,96,1.1997154942144466,0.7505154761434162,0.5001829127112758,1.5985219923502185,0.8941774914225721,0.559377659926913,0.5555087849400654,0.5878708555539348,1.0823597538999312,1.010877229541479,0.7600395184854468,1.070713358921811,0.9021000309006028,0.8425224392539581,0.6946501357696117,0.36434696193689803
GRU,illness,336,96,1.1718548611470174,0.2777408044830838,0.15729662020588503,4.219239097143146,0.8146606961313075,0.1930823727631164,0.48328784902200644,0.7271428421355352,1.0729554211817431,0.6440903485602236,0.4529223808787917,1.6658461403438027,0.8686190189388331,0.5214281186614057,0.655383210832391,0.42253515971872574
GRU,weather,96,96,1.2604629089582902,1.266123306934534,0.9929444791996765,0.9955293469875786,0.9942360730593994,0.9987009183284324,0.6221840759009173,0.474519288062253,1.1947724169505747,1.2062082308067867,0.9900412230362446,0.9905192042599785,0.9902801848095502,0.9997586927649659,0.6869827032951685,0.3754461642307863
GRU,weather,96,336,1.0962679180853185,1.08917549366764,0.9654496179538242,1.006511737051479,0.9857668953674547,0.9793893693234069,0.8085652061455102,0.21249395244959057,1.076622603787291,1.0768960657281665,0.984504575338029,0.9997460646857405,0.9920960512265437,0.9923480434388091,0.8491422590315029,0.1635285460108099
GRU,weather,336,96,1.2817385060216595,1.31173812470593,0.9657319814341794,0.9771298720992836,0.9714142100571554,0.9941505605290232,0.574394193587262,0.5544393699564892,1.1908973072393603,1.2140255253000858,0.9767295714024447,0.9809491500971459,0.9788370870282642,0.9978469189063749,0.6755728772585609,0.3921942410080696
GRU,weather,336,336,1.1294329131655623,1.1199362676491662,1.0824074920009068,1.0084796303064014,1.0447898867111767,1.036004947758581,0.8557305586716013,0.15579972029721847,1.0897462079153797,1.104409174828713,1.0463942920793499,0.9867232478256011,1.0161208463498357,1.029793154857775,0.8694407466013337,0.13990509402933404
PatchTST,ETTh1,96,96,1.0239806915270093,0.9744532574599811,0.9723722100958775,1.0508258694687183,1.0108382032359182,0.961946439086985,0.974495323142969,0.02583555928362741,1.0066439877417994,0.9957375530819071,0.9857384395837083,1.0109531217599816,0.9982661732904521,0.9874505076482254,0.9834242248701636,0.016714690516609145
PatchTST,ETTh1,96,336,1.0168396948108969,1.0293293938401187,0.9697008394531054,0.9878661785974783,0.9787413665791929,0.9907631091984135,0.9264690275497495,0.07637466333546963,0.9965062436884979,1.010648752075997,0.9785331020019111,0.9860065048727873,0.9822626959257035,0.9962030585715387,0.9716173322965164,0.028793243091333017
PatchTST,ETTh1,336,96,1.0332551829287535,0.9418547431077211,0.9652566943508767,1.097043031836788,1.0290423365787442,0.9380145597897015,0.9918621111376685,0.008171182228066159,0.9936883256290173,0.971753327588137,0.9638540228424028,1.0225725988459666,0.9927792871762059,0.9708643555446486,0.998171211979594,0.0018304622947911196
PatchTST,ETTh1,336,336,0.9555811272284017,0.9801644987709217,0.8992186753348963,0.974919136967982,0.9363041679406267,0.9603916185834153,0.9600609064363802,0.040758552328190846,0.9695473493980714,0.9972235445256865,0.9359970724823089,0.9722467492072914,0.9539497423808375,0.9811806963187358,0.9680837791728064,0.03243664671844744
PatchTST,ETTh2,96,96,1.0631484693429676,1.0273459098093267,1.0391017210972853,1.034849566433068,1.0369734642493897,1.0020523734900353,0.9513656126888053,0.04985683954213922,1.0277551106525131,1.019085810746601,1.0257201278682393,1.0085069380953904,1.0170771187570835,1.008497889640579,0.9793286910262877,0.020887951200340274
PatchTST,ETTh2,96,336,0.9942662261431169,0.9936907527796313,1.010716111349387,1.0005791272202906,1.0056348465330025,1.0050527931026878,1.0229991033048411,0.022738610434248106,0.9852577113716906,0.9918843813936447,0.9959833363752273,0.9933191104263147,0.9946503313665932,1.0013401744981099,1.0191572023510416,0.018976013540284532
PatchTST,ETTh2,336,96,0.966342833310598,0.8441798164642048,0.8713365695140504,1.1447120796586507,0.9987139212863028,0.8724586199737805,1.0681192619575834,0.06589940280315028,0.9890123347078352,0.9388705014191542,0.9300828167110479,1.053406548840217,0.9898259089795403,0.9396428283736437,1.0016459024250235,0.0016445494120419263
PatchTST,ETTh2,336,336,0.9977993406210164,0.7676355183447499,0.78619946545345,1.2998347741550158,1.0109052401775744,0.7777182610264708,1.0264421326726274,0.026098582456370156,0.9972843254131062,0.8763739287392648,0.8791859321494674,1.1379666746223054,1.0002421164812254,0.87897311827098,1.0059404869164439,0.005922911792888369
PatchTST,ETTm1,96,96,1.1087635189804768,1.0877111124429804,0.9840493937517952,1.0193547774741523,1.0015465295189414,0.9825298822855986,0.8159516115296849,0.20340022537229502,1.0453085787639593,1.0431818163317967,0.9904029102465065,1.0020387265181068,0.9962038300083152,0.9941769750455985,0.9082541374472148,0.09623105248551497
PatchTST,ETTm1,96,336,1.0556320305142728,1.1141857043205876,1.0089921119991327,0.9474471144448764,0.9777354780364778,1.0319683949951632,0.8578623934187116,0.15331157298739564,1.0315391704705466,1.0481555088421166,0.9991615401269359,0.9841470676522744,0.991625887029405,1.0075992904139537,0.924111263213554,0.07892279985644143
PatchTST,ETTm1,336,96,1.0260345006639398,0.9690301641347561,0.9423584427212149,1.0588261734660063,0.9988962828741975,0.9433996891145675,0.9478003516203903,0.053611398462866146,1.017094993131961,0.9991911299391243,0.978565627710027,1.0179183568152046,0.9980480528483735,0.9804794718222787,0.9628970819120005,0.03780874526079354
PatchTST,ETTm1,336,336,1.024608624899071,0.9484818892832241,0.9446053641884068,1.0802616649574368,1.0101588802984875,0.9351057369404002,0.9719934927938733,0.028406169200616282,1.0263341491127023,0.991671454242029,0.9791728672915573,1.0349538092705988,1.0066770529508515,0.972678243157851,0.9620613760228678,0.038677029912020544
PatchTST,ETTm2,96,96,1.0304615207096792,1.0314045463684007,1.0387031563392015,0.9990856878980783,1.0187018491556086,1.0196341129646243,0.9773061480157225,0.022955320839859496,1.0354949435797074,1.0413185756216152,1.032858217485845,0.9944074443899827,1.0134504923612657,1.0191501462290087,0.9578756007872047,0.04303736248340865
PatchTST,ETTm2,96,336,0.9836431327709007,1.0065127821847866,0.9805376647473255,0.9772783318615746,0.9789066417854718,1.001666168041192,0.9903926797722934,0.009653768262184345,0.9894769544919928,1.0220063258419565,0.9964757873665682,0.9681710665311537,0.9822214749368705,1.014512320075891,0.985388485082175,0.01471931446706269
PatchTST,ETTm2,336,96,1.0003383775230732,0.9996076685805313,1.0292507552296564,1.0007309957351362,1.0148907000963774,1.0141493612385206,1.029306426968718,0.028885203549845258,1.0091431671211484,1.0140129712304817,1.013501227217347,0.9951974932791797,1.0043076624033473,1.0091541319041606,0.9904395733989111,0.009606420864088035
PatchTST,ETTm2,336,336,0.9802542128435907,0.9402439244614096,0.947815744250732,1.0425530942995456,0.9940564556374187,0.9534828116406772,1.028358791537737,0.027964125145589113,0.9919081877841922,0.9752318765675876,0.977434092906054,1.0170998422193687,0.9970697376184774,0.9803066486008055,1.0104343917412701,0.01038032922355711
PatchTST,electricity,96,96,1.0273131172613477,1.022894420218293,0.9549166235541052,1.004319797777479,0.9793067294071924,0.9750945182743191,0.9087236077451499,0.09571429292737005,1.0200799189822038,1.0253100602395435,0.9796065456456402,0.9948989662150415,0.987223145778266,0.9922848241907646,0.9366174859718227,0.06548031278085234
PatchTST,electricity,96,336,1.0207939981208607,1.019877161184139,0.9834071410984057,1.000898968004791,0.9921145058177187,0.9912234276706434,0.9445987864651827,0.05699500622856497,1.016233575268501,1.021470109545729,0.9986539810042048,0.9948735315617244,0.9967619640063662,1.0018981633189872,0.9620459937996276,0.03869301885679747
