model,dataset,seq_len,pred_len,NN,NR,RN,RR,best_case,worst_case
TimeMixer,electricity,336,96,0.1318194717168808,0.12232953310012817,0.1333499252796173,0.1200789287686348,RR,RN
TimeMixer,electricity,336,336,0.16943874955177307,0.16224193572998047,0.17111192643642426,0.16246190667152405,NR,RN
TimeMixer,exchange_rate,96,96,0.09478336572647095,0.08564399927854538,0.08644555509090424,0.09617198258638382,NR,RR
TimeMixer,exchange_rate,96,336,0.34412556886672974,0.30878952145576477,0.3568577766418457,0.3522889316082001,NR,RN
TimeMixer,exchange_rate,336,96,0.10039090365171432,0.09857794642448425,0.0934564396739006,0.1029544323682785,RN,RR
TimeMixer,exchange_rate,336,336,0.531354546546936,0.38034310936927795,0.45785871148109436,0.4284190833568573,NR,NN
TimeMixer,illness,96,96,2.131145477294922,2.7876529693603516,3.4876091480255127,1.6016347408294678,RR,RN
TimeMixer,illness,336,96,2.9997689723968506,1.2181886434555054,3.638633966445923,0.7035658955574036,RR,RN
TimeMixer,weather,96,96,0.16466087102890015,0.16469325125217438,0.16488492488861084,0.1658198982477188,NN,RR
TimeMixer,weather,96,336,0.2621930241584778,0.26068124175071716,0.27039915323257446,0.26582154631614685,NR,RN
TimeMixer,weather,336,96,0.2510470151901245,2.5845534801483154,411.94671630859375,14776.501953125,NN,RR
TimeMixer,weather,336,336,0.24251747131347656,266785968.0,0.24400067329406738,3255.680908203125,NN,NR
TimesNet,ETTh1,96,96,0.4006969928741455,0.5256105661392212,0.5074511766433716,0.4049988389015198,NN,NR
TimesNet,ETTh1,96,336,0.5031553506851196,0.6820166707038879,0.5998953580856323,0.4877292811870575,RR,NR
TimesNet,ETTh1,336,96,0.4313322603702545,0.5040715932846069,0.5002764463424683,0.3890308141708374,RR,NR
TimesNet,ETTh1,336,336,0.4715431332588196,0.6575246453285217,0.6213980317115784,0.41709065437316895,RR,NR
TimesNet,ETTh2,96,96,0.3411911427974701,0.34967800974845886,0.34702596068382263,0.3525538444519043,NN,RR
TimesNet,ETTh2,96,336,0.48200514912605286,0.518683135509491,0.46382394433021545,0.4806327521800995,RN,NR
TimesNet,ETTh2,336,96,0.3999362587928772,0.3390440046787262,0.40011540055274963,0.33039921522140503,RR,RN
TimesNet,ETTh2,336,336,0.41893234848976135,0.44092509150505066,0.44941842555999756,0.3787843883037567,RR,RN
TimesNet,ETTm1,96,96,0.3426649868488312,0.48258042335510254,0.49229899048805237,0.3458508253097534,NN,RN
TimesNet,ETTm1,96,336,0.4122021198272705,0.5465686321258545,0.5572350025177002,0.415114164352417,NN,RN
TimesNet,ETTm1,336,96,0.3246505558490753,0.37718984484672546,0.3786790668964386,0.3183191120624542,RR,RN
TimesNet,ETTm1,336,336,0.3849559724330902,0.47099223732948303,0.4382285177707672,0.3698529005050659,RR,NR
TimesNet,ETTm2,96,96,0.18777985870838165,0.22629404067993164,0.2039017230272293,0.18971997499465942,NN,NR
TimesNet,ETTm2,96,336,0.31377774477005005,0.339631050825119,0.3311091363430023,0.31163275241851807,RR,NR
TimesNet,ETTm2,336,96,0.18763628602027893,0.20397379994392395,0.20734703540802002,0.189410999417305,NN,RN
TimesNet,ETTm2,336,336,0.3027358949184418,0.2961692214012146,0.3264922499656677,0.31549516320228577,NR,RN
TimesNet,electricity,96,96,0.34467121958732605,0.508638858795166,0.5158878564834595,0.3416370749473572,RR,RN
TimesNet,electricity,96,336,0.3691445589065552,0.5429128408432007,0.5479416847229004,0.3641027808189392,RR,RN
TimesNet,electricity,336,96,0.3628818988800049,0.4631883502006531,0.49323412775993347,0.34032416343688965,RR,RN
TimesNet,electricity,336,336,0.3794558048248291,0.5288791656494141,0.5093902349472046,0.36978229880332947,RR,NR
TimesNet,exchange_rate,96,96,0.11029133945703506,0.1110173836350441,0.10216065496206284,0.10405760258436203,RN,NR
TimesNet,exchange_rate,96,336,0.35550448298454285,0.32670682668685913,0.33819085359573364,0.32818329334259033,NR,NN
TimesNet,exchange_rate,336,96,0.20363865792751312,0.19315800070762634,0.18796607851982117,0.19417932629585266,RN,NN
TimesNet,exchange_rate,336,336,0.4548678398132324,0.5063042044639587,0.42842504382133484,0.4185123145580292,RR,NR
TimesNet,illness,96,96,4.611230850219727,3.199627161026001,4.906147003173828,2.900811195373535,RR,RN
TimesNet,illness,336,96,5.12293004989624,1.4131662845611572,5.7678303718566895,1.2792553901672363,RR,RN
TimesNet,weather,96,96,0.17897264659404755,0.21058715879917145,0.20757471024990082,0.1766279935836792,RR,NR
TimesNet,weather,96,336,0.2853489816188812,0.3127284646034241,0.3088705539703369,0.28166013956069946,RR,NR
TimesNet,weather,336,96,0.17261114716529846,0.21820665895938873,0.21070332825183868,0.16417266428470612,RR,NR
TimesNet,weather,336,336,0.2778095602989197,0.30427396297454834,0.3201901316642761,0.2750665247440338,RR,RN
iTransformer,ETTh1,96,96,0.40191346406936646,0.3994019031524658,0.4021506905555725,0.396630197763443,RR,RN
iTransformer,ETTh1,96,336,0.4983285963535309,0.49736401438713074,0.49157631397247314,0.4941500127315521,RN,NN
iTransformer,ETTh1,336,96,0.4014684557914734,0.3822101950645447,0.398531436920166,0.3777317702770233,RR,NN
iTransformer,ETTh1,336,336,0.46273279190063477,0.42617565393447876,0.4541579782962799,0.43714386224746704,NR,NN
iTransformer,ETTh2,96,96,0.29895472526550293,0.2944906949996948,0.3001326024532318,0.30278652906417847,NR,RR
iTransformer,ETTh2,96,336,0.4238449037075043,0.43296605348587036,0.42820438742637634,0.4316893219947815,NN,NR
iTransformer,ETTh2,336,96,0.3045614957809448,0.26315125823020935,0.30286672711372375,0.26543232798576355,NR,NN
iTransformer,ETTh2,336,336,0.4016316533088684,0.3222168982028961,0.3999093770980835,0.3298133313655853,NR,NN
