model,seasonal_pattern,smape_RN_vs_NN,smape_NR_vs_NN,smape_RR_vs_NN,smape_RN_vs_NR,smape_train_main,smape_test_main,smape_interaction,smape_abs_log_interaction,mase_RN_vs_NN,mase_NR_vs_NN,mase_RR_vs_NN,mase_RN_vs_NR,mase_train_main,mase_test_main,mase_interaction,mase_abs_log_interaction,owa_context_RN_vs_NN,owa_context_NR_vs_NN,owa_context_RR_vs_NN,owa_context_RN_vs_NR,owa_context_train_main,owa_context_test_main,owa_context_interaction,owa_context_abs_log_interaction
GRU,Weekly,6.862797179867131,1.0073794302441954,6.859534551896583,6.812524629576309,6.835989180961682,1.0034443253655925,0.9922027014799486,0.007827856401752811,16.142586256770183,1.0026808511054957,16.144427629824534,16.099426092532173,16.121911159431267,1.0013966377913015,0.9974400809278735,0.002563201267587487,0.6494623915389838,1.0046902603407863,0.6493478978270493,0.6464304643688783,0.6478875389520117,1.002254031428664,0.9951561685100727,0.004855600862966127
GRU,Yearly,7.855257586944359,1.13720278121997,7.866339751148466,6.90752583151211,7.371359781648741,1.0671490721063426,0.8805912299117779,0.12716174492904372,6.8210895962522455,1.2060832606410332,6.821208768167629,5.655571069468982,6.211105454591558,1.0982278143619433,0.8291446401180544,0.1873606636520897,1.2638086953001144,1.1703486261660647,1.2647188083995806,1.0798566060099672,1.1686380791311488,1.0822159837028973,0.8550615712311534,0.15658179950234624
PatchTST,Daily,16.897861365453252,1.0058739473075646,16.895586068513023,16.799183844739165,16.847316003730803,1.0028651486546303,0.9940264907763381,0.005991422000265477,16.701699529408767,1.0051756211737877,16.701607307950066,16.61570294542705,16.658599753282743,1.002581702862442,0.9948455347048294,0.005167795377437635,0.9491710269663067,1.0055242295800217,0.949104482020076,0.9439563951261004,0.9465269385736973,1.0027231591002184,0.9944363965539933,0.005579137932935672
PatchTST,Hourly,1.7772985655868214,1.5068110375152566,1.5638917023584664,1.1795099195169163,1.358170009970036,1.1514697651091332,0.5839659060292504,0.5379126779449936,3.0126128607066955,2.147004560989626,2.6551347860749477,1.4031702193115423,1.9301829084515512,1.3755871396690451,0.41049727629188243,0.8903859852106131,0.28483044625116055,0.2580963388795548,0.32933625022954605,1.1035818930545995,0.602867748747456,0.546282747607231,4.47993055623588,1.4996075454665492
PatchTST,Monthly,4.74675427611994,1.0946921478154683,4.739558849430069,4.336154493838663,4.53337174780196,1.0454820634835607,0.9121140948316487,0.09199019275058525,7.464496089196425,1.1867574613804077,7.45174117184719,6.2898244435842035,6.846177310729488,1.0884528450889883,0.8411923142606471,0.17293497183269838,1.2663351981188842,0.9965564232240707,1.2674371111173315,1.2707109889694173,1.2690729943247732,0.9987109620843267,1.0043286418090671,0.00431930018709999
PatchTST,Quarterly,7.9886111990752235,1.1094888263805294,7.9886942583744505,7.200262868023975,7.584240148661557,1.0533282308820706,0.901325343199894,0.10388899531970157,9.198029017104592,1.1731470648253142,9.197005376994163,7.840473963487444,8.49169483674353,1.0830588656105204,0.8523131846877404,0.159801232034947,1.2972525962077728,1.047030430742873,1.297126314610956,1.2389827058678382,1.267721211910986,1.0231952438940768,0.954989105590858,0.046055346324739614
PatchTST,Weekly,6.873918827035497,1.0114292348559708,6.883787956530064,6.796242969993203,6.839875401386441,1.0064200811515838,0.9901194280519539,0.009929708733332066,20.04954379868466,1.006377454107371,20.053211301859598,19.92248903913299,19.987743303352573,1.0032754072089791,0.9938447229158963,0.006174298898624246,0.7315670290903568,1.0088083844974878,0.7321525367898795,0.7251793703665222,0.7286576120795946,1.0047963881147284,0.9920618847777053,0.007969789794562372
PatchTST,Yearly,4.106286687457318,1.0028968225669506,4.110881011491236,4.09442586222093,4.102645186944962,1.002007442557422,0.9982271642834962,0.0017744090495249217,3.595047473952124,1.0023306729408923,3.5961352983843065,3.5866880771033984,3.5914085813738406,1.0013161178694565,0.997976632593351,0.0020254171799097883,0.6638471334341931,1.0026179171215521,0.6643139700869855,0.6621137744476511,0.6632129598798547,1.0016601156396734,0.9980903114309593,0.0019115143490738837
TimeFilter,Daily,13.19658745063333,0.992113206344243,13.196519782740461,13.30149358585837,13.248902718556558,0.9960462434566201,1.007944321196608,0.00791293121543563,13.009790226973866,0.9931163711904969,13.01042216019287,13.099965527079569,13.055117073059082,0.9965764448824099,1.0069802519399143,0.006956002759537698,0.7403001961594214,0.9926180637228085,0.7403163432952248,0.7458056862101922,0.7430559456890949,0.9963130603963749,1.0074588083304545,0.007431128971078388
TimeFilter,Hourly,1.1994822050752147,1.062377643759784,1.1935026262517217,1.1290544488777208,1.160831361532221,1.0281447123175382,0.9365924371880776,0.06550705701644163,1.520076032844753,1.103217552624548,1.5220250435614238,1.3778570049293553,1.4481480821894612,1.0510147838336172,0.9076017485162458,0.09694959955093091,0.1543483208063674,0.14438444172399736,0.2022967893197826,1.0690093680690114,0.4650345824915935,0.43501450631026894,9.077508893393297,2.2057998040242213
