dataset,condition,base_start,mse
ETTm1,target_history,47415,0.010077712899024519
ETTm1,target_history,47418,0.020448085442941438
ETTm1,target_history,47420,0.015938677375837457
ETTm1,target_history,47423,0.027801819619820246
ETTm1,target_history,47426,0.026791479888826363
ETTm1,target_history,47429,0.02909317991854285
ETTm1,target_history,47432,0.03241615670101761
ETTm1,target_history,47435,0.03559063126625884
ETTm1,target_history,47438,0.043242955038353036
ETTm1,target_history,47440,0.04812546725696285
ETTm1,target_history,47443,0.04071407781391755
ETTm1,target_history,47446,0.05055978926624429
ETTm1,target_history,47449,0.054712089306763335
ETTm1,target_history,47452,0.055852871247684545
ETTm1,target_history,47455,0.07324863509897984
ETTm1,target_history,47458,0.09411473994841164
ETTm1,target_history,47460,0.06614394753708068
ETTm1,target_history,47463,0.0648526744072565
ETTm1,target_history,47466,0.06787935203920212
ETTm1,target_history,47469,0.06700619645399376
ETTm1,target_history,47472,0.07632014612079238
ETTm1,target_history,47475,0.09209919961089504
ETTm1,target_history,47478,0.10722415651014444
ETTm1,target_history,47480,0.09982921938196614
ETTm1,target_history,47483,0.08657778623833216
ETTm1,target_history,47486,0.09196103729668403
ETTm1,target_history,47489,0.09215178593530249
ETTm1,target_history,47492,0.10279632130735665
ETTm1,target_history,47495,0.07994755947939229
ETTm1,target_history,47498,0.06228967609037691
ETTm1,target_history,47500,0.05547000065474536
ETTm1,target_history,47503,0.04202739843980058
ETTm1,target_history,47506,0.03522671095364054
ETTm1,target_history,47509,0.034253689069656985
ETTm1,target_history,47512,0.027545326986635043
ETTm1,target_history,47515,0.022466280400525295
ETTm1,target_history,47518,0.01571763567601916
ETTm1,target_history,47520,0.016572961796926865
ETTm1,target_history,47523,0.014665426296560667
ETTm1,target_history,47526,0.014280724824181724
ETTm1,target_history,47529,0.01429783203955579
ETTm1,target_history,47532,0.015556011594222341
ETTm1,target_history,47535,0.018728206528094333
ETTm1,target_history,47538,0.02219558289665488
ETTm1,target_history,47540,0.023696053785452587
ETTm1,target_history,47543,0.03032814853566131
ETTm1,target_history,47546,0.04069084512556371
ETTm1,target_history,47549,0.04901234811302576
ETTm1,target_history,47552,0.04765273288878356
ETTm1,target_history,47555,0.040040488948370055
ETTm1,target_history,47558,0.037559026777494
ETTm1,target_history,47560,0.03259764907612743
ETTm1,target_history,47563,0.01942144849756364
ETTm1,target_history,47566,0.020026940376845482
ETTm1,target_history,47569,0.023528045181820324
ETTm1,target_history,47572,0.012726360015306483
ETTm1,target_history,47575,0.01676630083904258
ETTm1,target_history,47578,0.014728262954085934
ETTm1,target_history,47580,0.01486807491586919
ETTm1,target_history,47583,0.016113752777067586
ETTm1,target_history,47586,0.01969091171141442
ETTm1,target_history,47589,0.026386435260547996
ETTm1,target_history,47592,0.01973729069372
ETTm1,target_history,47595,0.017795879236760005
ETTm1,target_history,47598,0.01664366643017218
ETTm1,target_history,47600,0.017072060022589295
ETTm1,target_history,47603,0.018114200540180384
ETTm1,target_history,47606,0.019180998028229795
ETTm1,target_history,47609,0.019692303755584645
ETTm1,target_history,47612,0.02013213533373376
ETTm1,target_history,47615,0.019491171237857898
ETTm1,target_history,47618,0.01913345402141213
ETTm1,target_history,47620,0.0185258429114352
ETTm1,target_history,47623,0.02345035794156095
ETTm1,target_history,47626,0.02445086899894895
ETTm1,target_history,47629,0.03931771077254962
ETTm1,target_history,47632,0.04986791489518305
ETTm1,target_history,47635,0.06250493864374107
ETTm1,target_history,47638,0.055439317142886545
ETTm1,target_history,47640,0.06881119033900716
ETTm1,target_history,47643,0.07432571270057134
ETTm1,target_history,47646,0.0632608585183856
ETTm1,target_history,47649,0.024506805329742254
ETTm1,target_history,47652,0.022981687253014305
ETTm1,target_history,47655,0.025127637731111038
ETTm1,target_history,47658,0.03233576224114421
ETTm1,target_history,47660,0.035059642983990724
ETTm1,target_history,47663,0.04749948123639667
ETTm1,target_history,47666,0.06119333866149027
ETTm1,target_history,47669,0.05083285999760184
ETTm1,target_history,47672,0.05053511984927256
ETTm1,target_history,47675,0.041021200169442384
ETTm1,target_history,47678,0.035441319409888906
ETTm1,target_history,47680,0.04974365555478836
ETTm1,target_history,47683,0.04393419993022173
ETTm1,target_history,47686,0.05576123692698096
ETTm1,target_history,47689,0.05544671773341874
ETTm1,target_history,47692,0.04401140517234916
ETTm1,target_history,47695,0.03521517015109966
ETTm1,target_history,47698,0.026699360846648174
ETTm1,target_history,47700,0.029711102627922887
ETTm1,target_history,47703,0.030241496897448733
ETTm1,target_history,47706,0.034307031331034445
ETTm1,target_history,47709,0.036946112974578206
ETTm1,target_history,47712,0.03626930702100625
ETTm1,target_history,47715,0.023778233361684525
ETTm1,target_history,47718,0.023870897363763115
ETTm1,target_history,47720,0.02076804644643906
ETTm1,target_history,47723,0.00901660595591127
ETTm1,target_history,47726,0.006820428158814981
ETTm1,target_history,47729,0.0067541388248310965
ETTm1,target_history,47732,0.008869993517509521
ETTm1,target_history,47735,0.01121432067374647
ETTm1,target_history,47738,0.015495958281606126
ETTm1,target_history,47740,0.00972753285586199
ETTm1,target_history,47743,0.005875837307321664
ETTm1,target_history,47746,0.00837337188570596
