dataset,seed,condition,base_alpha,residual_alpha,mse,residual_mse,none_mse,event_mse,separation_mse,n_test_pairs
ETTh2,2,latent_oracle_upper_bound,0.1,,0.12792798923292534,0.0,0.12792798923292537,0.12792798923292537,0.0,2785
ETTh2,3,history,0.1,0.1,0.2763424758773669,0.14963354777262897,0.12729961368476203,0.42538533806997175,0.29924263342565927,2785
ETTh2,3,clean,0.1,10.0,0.20667360245064922,0.08093173092723183,0.12792802117950464,0.28541918372179387,0.16186345822879075,2785
ETTh2,3,noisy,0.1,0.1,0.23171969226154093,0.10766175689032785,0.1279279921432216,0.3355113923798603,0.21532351365224955,2785
ETTh2,3,delayed50,0.1,10.0,0.24293521789258382,0.1162365377766314,0.12792812932538383,0.3579423064597838,0.2324730649453024,2785
ETTh2,3,shuffled,0.1,100.0,0.27636297912092916,0.14956837306692355,0.12762378278200068,0.4251021754598575,0.29900412702511914,2785
ETTh2,3,misleading_test,0.1,,0.48761022041632207,0.35856466908050383,0.12792802117950464,0.8472924196531395,0.717129329750207,2785
ETTh2,3,latent_oracle_upper_bound,0.1,,0.12792798923292534,0.0,0.12792798923292537,0.12792798923292537,0.0,2785
ETTh2,4,history,0.1,0.1,0.2838209661487607,0.15427961362281334,0.12853052996064013,0.43911140233688106,0.308532553901165,2785
ETTh2,4,clean,0.1,0.1,0.21032694844322564,0.08177819166511645,0.12792798851246415,0.29272590837398715,0.16355638327459363,2785
ETTh2,4,noisy,0.1,0.1,0.2397030711179138,0.10912476828552041,0.12792798735184266,0.351478154883985,0.21824953655938256,2785
ETTh2,4,delayed50,0.1,10.0,0.24696450893922545,0.1180768719210225,0.12792826679177696,0.36600075108667385,0.23615373789250108,2785
ETTh2,4,shuffled,0.1,100.0,0.2838561571894727,0.1543672462237439,0.12855682295585308,0.4391554914230925,0.3083989989883358,2785
ETTh2,4,misleading_test,0.1,,0.4888094343906522,0.35939191022756334,0.12792798851246415,0.8496908802688405,0.7187838205275824,2785
ETTh2,4,latent_oracle_upper_bound,0.1,,0.12792798923292534,0.0,0.12792798923292537,0.12792798923292537,0.0,2785
ETTh2,5,history,0.1,0.1,0.27916873030750616,0.15166973176410298,0.12719763040579835,0.4311398302092136,0.3032664541401057,2785
ETTh2,5,clean,0.1,10.0,0.20896369759444258,0.08200066754439618,0.12792775757175845,0.2899996376171269,0.16400133560336222,2785
ETTh2,5,noisy,0.1,10.0,0.23930809413756454,0.11118137566318927,0.1279268833817111,0.350689304893418,0.22236270998428767,2785
ETTh2,5,delayed50,0.1,100.0,0.24213477968637184,0.11495285554874775,0.12792067668780135,0.35634888268494236,0.2299053518469044,2785
ETTh2,5,shuffled,0.1,100.0,0.27950110845953846,0.15203159937019076,0.1273993252060781,0.431602891712999,0.3037533180634869,2785
ETTh2,5,misleading_test,0.1,,0.4894871228721918,0.35994482536345335,0.12792775757175845,0.8510464881726253,0.7198896254476339,2785
ETTh2,5,latent_oracle_upper_bound,0.1,,0.12792798923292534,0.0,0.12792798923292537,0.12792798923292534,0.0,2785
ETTh2,6,history,0.1,0.1,0.2800623518347054,0.1536809871644141,0.12808443228646973,0.43204027138294115,0.3073560484497971,2785
ETTh2,6,clean,0.1,100.0,0.20940113477560773,0.08179240622676107,0.12792997912975398,0.29087229042146157,0.16358481666210067,2785
ETTh2,6,noisy,0.1,100.0,0.23771377580736217,0.11210760964944952,0.1279279551504414,0.3474995964642829,0.2242152422103122,2785
ETTh2,6,delayed50,0.1,0.1,0.24406003658014372,0.11751227873067066,0.12792799769885602,0.3601920754614314,0.23502455757186086,2785
ETTh2,6,shuffled,0.1,0.1,0.2804355969188246,0.1540705465295051,0.12835318296950604,0.4325180108681431,0.3080244482361049,2785
ETTh2,6,misleading_test,0.1,,0.48510312764686925,0.3592676534960866,0.12792997912975398,0.8422762761639844,0.7185351685183151,2785
ETTh2,6,latent_oracle_upper_bound,0.1,,0.12792798923292534,0.0,0.12792798923292537,0.12792798923292537,0.0,2785
ETTh2,7,history,0.1,0.1,0.28121918586716804,0.15195009882666513,0.1276872350079164,0.4347511367264197,0.30390483433829857,2785
ETTh2,7,clean,0.1,10.0,0.21112953547289928,0.0835769279799216,0.12792788405606648,0.2943311868897321,0.1671538570617127,2785
ETTh2,7,noisy,0.1,0.1,0.234492392920052,0.10726770889286515,0.1279279901563543,0.34105679568374964,0.21453541774522755,2785
ETTh2,7,delayed50,0.1,10.0,0.2408618905798311,0.11354697006902427,0.1279282211096927,0.35379556004996965,0.22709392780810111,2785
ETTh2,7,shuffled,0.1,10.0,0.2813735650294233,0.15208138033775975,0.1278429692035667,0.4349041608552799,0.30403488575943277,2785
ETTh2,7,misleading_test,0.1,,0.48643401758970467,0.3544670214316059,0.12792788405606648,0.8449401511233429,0.708934046912303,2785
ETTh2,7,latent_oracle_upper_bound,0.1,,0.12792798923292534,0.0,0.12792798923292537,0.12792798923292534,0.0,2785
ETTh2,8,history,0.1,0.1,0.2833630683799256,0.15317067277082655,0.12854319436415848,0.4381829423956926,0.30635339382528537,2785
ETTh2,8,clean,0.1,10.0,0.21688760235984472,0.08644744183581408,0.12792824071345923,0.3058469640062301,0.17289486664345108,2785
ETTh2,8,noisy,0.1,10.0,0.24534613186234544,0.11537852405155595,0.12792797988003146,0.3627642838446594,0.23075704565706864,2785
