case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
NR,exchange_rate,96,336,M,False,True,8,4880,1182,0.5408273944423213,0.5508787051605621,0.331,0.415,1.6339196206716655,1.3274185666519571,0.03718608291819692,<project-root>/checkpoints/extra_models/ridge_NR_exchange_rate_s96_p336_M.npz
NR,exchange_rate,96,720,M,False,True,8,4496,798,1.7450922026936322,1.0215898286032508,1.033,0.78,1.689343855463342,1.3097305494913472,0.053766584023833275,<project-root>/checkpoints/extra_models/ridge_NR_exchange_rate_s96_p720_M.npz
RN,exchange_rate,96,96,M,True,False,8,5120,1422,0.08249505383740295,0.20677925767350772,0.089,0.208,0.9269107172741905,0.9941310465072487,0.024538791039958596,<project-root>/checkpoints/extra_models/ridge_RN_exchange_rate_s96_p96_M.npz
RN,exchange_rate,96,192,M,True,False,8,5024,1326,0.1774676689819472,0.3128679702316358,0.18,0.3,0.9859314943441512,1.0428932341054529,0.031128291971981525,<project-root>/checkpoints/extra_models/ridge_RN_exchange_rate_s96_p192_M.npz
RN,exchange_rate,96,336,M,True,False,8,4880,1182,0.3388188779085019,0.4381258725010498,0.331,0.415,1.0236219876389785,1.0557249939784332,0.03910162509419024,<project-root>/checkpoints/extra_models/ridge_RN_exchange_rate_s96_p336_M.npz
RN,exchange_rate,96,720,M,True,False,8,4496,798,0.9045006673323294,0.7199305054610167,1.033,0.78,0.8756056798957691,0.9229878275141239,0.05743783409707248,<project-root>/checkpoints/extra_models/ridge_RN_exchange_rate_s96_p720_M.npz
RR,exchange_rate,96,96,M,True,True,8,5120,1422,0.10949796702130236,0.2318128372217679,0.089,0.208,1.2303142361944086,1.1144847943354226,0.02512870798818767,<project-root>/checkpoints/extra_models/ridge_RR_exchange_rate_s96_p96_M.npz
RR,exchange_rate,96,192,M,True,True,8,5024,1326,0.2903915303146766,0.38867438335744636,0.18,0.3,1.6132862795259812,1.2955812778581546,0.03146470803767443,<project-root>/checkpoints/extra_models/ridge_RR_exchange_rate_s96_p192_M.npz
RR,exchange_rate,96,336,M,True,True,8,4880,1182,0.625784192902305,0.5948318034904367,0.331,0.415,1.8905866855054532,1.433329646964908,0.03957158396951854,<project-root>/checkpoints/extra_models/ridge_RR_exchange_rate_s96_p336_M.npz
RR,exchange_rate,96,720,M,True,True,8,4496,798,1.9609527093638803,1.0954101204523228,1.033,0.78,1.898308527941801,1.4043719492978497,0.060312415938824415,<project-root>/checkpoints/extra_models/ridge_RR_exchange_rate_s96_p720_M.npz
NN,traffic,96,96,M,False,False,862,12089,3413,0.6486319431334849,0.3960947111021324,0.41,0.279,1.5820291295938658,1.419694305025564,3.446872416883707,<project-root>/checkpoints/extra_models/ridge_NN_traffic_s96_p96_M.npz
NN,traffic,96,192,M,False,False,862,11993,3317,0.5983423411500765,0.37043244765204525,0.423,0.284,1.4145209010640105,1.3043396044086102,4.993265833007172,<project-root>/checkpoints/extra_models/ridge_NN_traffic_s96_p192_M.npz
NN,traffic,96,336,M,False,False,862,11849,3173,0.605166773332087,0.37320056311432515,0.435,0.29,1.3911879846714643,1.286898493497673,6.533488834043965,<project-root>/checkpoints/extra_models/ridge_NN_traffic_s96_p336_M.npz
NN,traffic,96,720,M,False,False,862,11465,2789,0.6456079487447398,0.394964356676095,0.464,0.307,1.3913964412602151,1.2865288491078013,11.69285145890899,<project-root>/checkpoints/extra_models/ridge_NN_traffic_s96_p720_M.npz
NR,traffic,96,96,M,False,True,862,12089,3413,0.6548172098255512,0.3970714181953381,0.41,0.279,1.5971151459159787,1.4231950472951185,3.444803500082344,<project-root>/checkpoints/extra_models/ridge_NR_traffic_s96_p96_M.npz
NR,traffic,96,192,M,False,True,862,11993,3317,0.6023170381788384,0.3685749746704187,0.423,0.284,1.4239173479405165,1.2977992065859816,4.943666457897052,<project-root>/checkpoints/extra_models/ridge_NR_traffic_s96_p192_M.npz
NR,traffic,96,336,M,False,True,862,11849,3173,0.6141508534163713,0.3753494834388505,0.435,0.29,1.4118410423364858,1.294308563582243,7.182262916117907,<project-root>/checkpoints/extra_models/ridge_NR_traffic_s96_p336_M.npz
NR,traffic,96,720,M,False,True,862,11465,2789,0.6647115411066027,0.40150744554296314,0.464,0.307,1.4325679765228505,1.307841842159489,29.736498082987964,<project-root>/checkpoints/extra_models/ridge_NR_traffic_s96_p720_M.npz
RN,traffic,96,96,M,True,False,862,12089,3413,0.648196739517073,0.395356713589382,0.41,0.279,1.5809676573587148,1.4170491526501146,10.044494374888018,<project-root>/checkpoints/extra_models/ridge_RN_traffic_s96_p96_M.npz
RN,traffic,96,192,M,True,False,862,11993,3317,0.5980168431694778,0.3698641608475615,0.423,0.284,1.4137514022919098,1.3023385945336674,14.527265375014395,<project-root>/checkpoints/extra_models/ridge_RN_traffic_s96_p192_M.npz
RN,traffic,96,336,M,True,False,862,11849,3173,0.6047808933985326,0.3723322031912,0.435,0.29,1.3903009043644428,1.2839041489351724,25.502051583025604,<project-root>/checkpoints/extra_models/ridge_RN_traffic_s96_p336_M.npz
RN,traffic,96,720,M,True,False,862,11465,2789,0.6453046014395979,0.3936585438695462,0.464,0.307,1.3907426755163748,1.2822753871972188,46.49685537512414,<project-root>/checkpoints/extra_models/ridge_RN_traffic_s96_p720_M.npz
RR,traffic,96,96,M,True,True,862,12089,3413,0.6546600110603256,0.3963342332348629,0.41,0.279,1.596731734293477,1.4205528072934153,13.727601832943037,<project-root>/checkpoints/extra_models/ridge_RR_traffic_s96_p96_M.npz
RR,traffic,96,192,M,True,True,862,11993,3317,0.6024029254701666,0.36822294912607995,0.423,0.284,1.424120391182427,1.2965596800214083,19.382396125001833,<project-root>/checkpoints/extra_models/ridge_RR_traffic_s96_p192_M.npz
RR,traffic,96,336,M,True,True,862,11849,3173,0.6143027176014068,0.37472671018342524,0.435,0.29,1.4121901554055327,1.2921610695980181,27.232617791043594,<project-root>/checkpoints/extra_models/ridge_RR_traffic_s96_p336_M.npz
RR,traffic,96,720,M,True,True,862,11465,2789,0.6648291972877491,0.4004566705714776,0.464,0.307,1.4328215458787696,1.304419122382663,45.922809541923925,<project-root>/checkpoints/extra_models/ridge_RR_traffic_s96_p720_M.npz
NN,weather,96,96,M,False,False,21,36696,10444,0.19503765376994095,0.25334404231927254,0.182,0.232,1.071635460274401,1.0920001824106575,1.0478499999735504,<project-root>/checkpoints/extra_models/ridge_NN_weather_s96_p96_M.npz
