model,dataset,case,seq_len,pred_len,channel_count,selected_count,mean_mse_normalized,mean_mae_normalized,result_relative_path
DLinear,exchange_rate,NN,336,336,8,4,0.34498715680092573,0.44576129131019115,long_term/DLinear/exchange_rate/NN/seq336_pred336/channel_metrics.csv
DLinear,exchange_rate,RN,96,96,8,4,0.08170163864269847,0.2014520158991217,long_term/DLinear/exchange_rate/RN/seq96_pred96/channel_metrics.csv
DLinear,exchange_rate,RN,96,336,8,4,0.33181939646601677,0.43923942372202873,long_term/DLinear/exchange_rate/RN/seq96_pred336/channel_metrics.csv
DLinear,exchange_rate,RN,336,96,8,4,0.08586012595333155,0.21494634635746473,long_term/DLinear/exchange_rate/RN/seq336_pred96/channel_metrics.csv
DLinear,exchange_rate,RN,336,336,8,4,0.3167320340871811,0.42794585414230824,long_term/DLinear/exchange_rate/RN/seq336_pred336/channel_metrics.csv
DLinear,exchange_rate,NR,96,96,8,4,0.08632217766717074,0.2039261534810066,long_term/DLinear/exchange_rate/NR/seq96_pred96/channel_metrics.csv
DLinear,exchange_rate,NR,96,336,8,4,0.46258559450507164,0.4944864362478256,long_term/DLinear/exchange_rate/NR/seq96_pred336/channel_metrics.csv
DLinear,exchange_rate,NR,336,96,8,4,0.10017659876029934,0.2203661389648914,long_term/DLinear/exchange_rate/NR/seq336_pred96/channel_metrics.csv
DLinear,exchange_rate,NR,336,336,8,4,0.6004465646110475,0.5644247550517321,long_term/DLinear/exchange_rate/NR/seq336_pred336/channel_metrics.csv
DLinear,exchange_rate,RR,96,96,8,4,0.08535935403779142,0.20480382535606617,long_term/DLinear/exchange_rate/RR/seq96_pred96/channel_metrics.csv
DLinear,exchange_rate,RR,96,336,8,4,0.5512368828058243,0.550776980817318,long_term/DLinear/exchange_rate/RR/seq96_pred336/channel_metrics.csv
DLinear,exchange_rate,RR,336,96,8,4,0.11362442350946361,0.23344063758850095,long_term/DLinear/exchange_rate/RR/seq336_pred96/channel_metrics.csv
DLinear,exchange_rate,RR,336,336,8,4,0.6237514838576317,0.5802320744842291,long_term/DLinear/exchange_rate/RR/seq336_pred336/channel_metrics.csv
DLinear,weather,NN,96,96,21,10,0.19947098923148582,0.2656669281423092,long_term/DLinear/weather/NN/seq96_pred96/channel_metrics.csv
DLinear,weather,NN,96,336,21,10,0.2865225465142257,0.3387387391357195,long_term/DLinear/weather/NN/seq96_pred336/channel_metrics.csv
DLinear,weather,NN,336,96,21,10,0.17717698663251383,0.24346399298381238,long_term/DLinear/weather/NN/seq336_pred96/channel_metrics.csv
DLinear,weather,NN,336,336,21,10,0.2626426625204095,0.3159259856634197,long_term/DLinear/weather/NN/seq336_pred336/channel_metrics.csv
DLinear,weather,RN,96,96,21,10,0.1943499829919476,0.25179980304979144,long_term/DLinear/weather/RN/seq96_pred96/channel_metrics.csv
DLinear,weather,RN,96,336,21,10,0.27922236246688825,0.32807279839402154,long_term/DLinear/weather/RN/seq96_pred336/channel_metrics.csv
DLinear,weather,RN,336,96,21,10,0.17426732424203126,0.2359847359004475,long_term/DLinear/weather/RN/seq336_pred96/channel_metrics.csv
DLinear,weather,RN,336,336,21,10,0.25953745446722243,0.3100658122095324,long_term/DLinear/weather/RN/seq336_pred336/channel_metrics.csv
DLinear,weather,NR,96,96,21,10,0.1987702172011181,0.26514324856301147,long_term/DLinear/weather/NR/seq96_pred96/channel_metrics.csv
DLinear,weather,NR,96,336,21,10,0.2822734153957017,0.3399639878244627,long_term/DLinear/weather/NR/seq96_pred336/channel_metrics.csv
DLinear,weather,NR,336,96,21,10,0.17521785714641389,0.24314068479552156,long_term/DLinear/weather/NR/seq336_pred96/channel_metrics.csv
DLinear,weather,NR,336,336,21,10,0.25332681599926826,0.31663356393220876,long_term/DLinear/weather/NR/seq336_pred336/channel_metrics.csv
DLinear,weather,RR,96,96,21,10,0.1942529504775025,0.25269344724005177,long_term/DLinear/weather/RR/seq96_pred96/channel_metrics.csv
DLinear,weather,RR,96,336,21,10,0.27926335615449627,0.3350362842459054,long_term/DLinear/weather/RR/seq96_pred336/channel_metrics.csv
DLinear,weather,RR,336,96,21,10,0.17271471378349118,0.23562482043745972,long_term/DLinear/weather/RR/seq336_pred96/channel_metrics.csv
DLinear,weather,RR,336,336,21,10,0.2507938861658442,0.3108234414387317,long_term/DLinear/weather/RR/seq336_pred336/channel_metrics.csv
DLinear,illness,NN,96,96,7,3,2.8846202748162404,1.213548140866416,long_term/DLinear/illness/NN/seq96_pred96/channel_metrics.csv
DLinear,illness,NN,336,96,7,3,5.667839740003858,1.8815303019114904,long_term/DLinear/illness/NN/seq336_pred96/channel_metrics.csv
DLinear,illness,RN,96,96,7,3,2.881730845996312,1.2127601163727897,long_term/DLinear/illness/RN/seq96_pred96/channel_metrics.csv
DLinear,illness,RN,336,96,7,3,6.062174201011658,1.8710078511919295,long_term/DLinear/illness/RN/seq336_pred96/channel_metrics.csv
DLinear,illness,NR,96,96,7,3,2.075388593333108,1.1107990997178214,long_term/DLinear/illness/NR/seq96_pred96/channel_metrics.csv
DLinear,illness,NR,336,96,7,3,4.418925132070269,1.6942440952573503,long_term/DLinear/illness/NR/seq336_pred96/channel_metrics.csv
DLinear,illness,RR,96,96,7,3,2.003538651125772,1.0767980217933655,long_term/DLinear/illness/RR/seq96_pred96/channel_metrics.csv
DLinear,illness,RR,336,96,7,3,4.588001983506339,1.7109031677246094,long_term/DLinear/illness/RR/seq336_pred96/channel_metrics.csv
iTransformer,ETTh1,NN,96,96,7,3,0.39493795377867563,0.4097885915211269,long_term/iTransformer/ETTh1/NN/seq96_pred96/channel_metrics.csv
iTransformer,ETTh1,NN,96,336,7,3,0.49192015933138983,0.46536220610141754,long_term/iTransformer/ETTh1/NN/seq96_pred336/channel_metrics.csv
iTransformer,ETTh1,NN,336,96,7,3,0.397271138216768,0.4157374437366213,long_term/iTransformer/ETTh1/NN/seq336_pred96/channel_metrics.csv
iTransformer,ETTh1,NN,336,336,7,3,0.45910737769944326,0.459400794335774,long_term/iTransformer/ETTh1/NN/seq336_pred336/channel_metrics.csv
iTransformer,ETTh1,RN,96,96,7,3,0.3943139373191765,0.40883514285087585,long_term/iTransformer/ETTh1/RN/seq96_pred96/channel_metrics.csv
iTransformer,ETTh1,RN,96,336,7,3,0.4881034088986261,0.46098001514162334,long_term/iTransformer/ETTh1/RN/seq96_pred336/channel_metrics.csv
iTransformer,ETTh1,RN,336,96,7,3,0.3917177596262523,0.41131984336035593,long_term/iTransformer/ETTh1/RN/seq336_pred96/channel_metrics.csv
iTransformer,ETTh1,RN,336,336,7,3,0.46231869395290104,0.4610039932387216,long_term/iTransformer/ETTh1/RN/seq336_pred336/channel_metrics.csv
iTransformer,ETTh1,NR,96,96,7,3,0.395649077636855,0.4112344597067152,long_term/iTransformer/ETTh1/NR/seq96_pred96/channel_metrics.csv
iTransformer,ETTh1,NR,96,336,7,3,0.4934826237814767,0.467870546238763,long_term/iTransformer/ETTh1/NR/seq96_pred336/channel_metrics.csv
iTransformer,ETTh1,NR,336,96,7,3,0.39564438802855356,0.4162766592843192,long_term/iTransformer/ETTh1/NR/seq336_pred96/channel_metrics.csv
iTransformer,ETTh1,NR,336,336,7,3,0.4623718612960407,0.4624746633427484,long_term/iTransformer/ETTh1/NR/seq336_pred336/channel_metrics.csv
iTransformer,ETTh1,RR,96,96,7,3,0.3925309660179274,0.40875190070697237,long_term/iTransformer/ETTh1/RR/seq96_pred96/channel_metrics.csv
iTransformer,ETTh1,RR,96,336,7,3,0.48569396670375553,0.4614737885338919,long_term/iTransformer/ETTh1/RR/seq96_pred336/channel_metrics.csv
iTransformer,ETTh1,RR,336,96,7,3,0.3893818328423159,0.4119851972375597,long_term/iTransformer/ETTh1/RR/seq336_pred96/channel_metrics.csv
iTransformer,ETTh1,RR,336,336,7,3,0.4519185945391655,0.45640179940632414,long_term/iTransformer/ETTh1/RR/seq336_pred336/channel_metrics.csv
iTransformer,ETTh2,NN,96,96,7,3,0.30038380183811697,0.349616747881685,long_term/iTransformer/ETTh2/NN/seq96_pred96/channel_metrics.csv
iTransformer,ETTh2,NN,96,336,7,3,0.42343509702810217,0.43233614414930344,long_term/iTransformer/ETTh2/NN/seq96_pred336/channel_metrics.csv
iTransformer,ETTh2,NN,336,96,7,3,0.30705886307571617,0.3631532522184508,long_term/iTransformer/ETTh2/NN/seq336_pred96/channel_metrics.csv
iTransformer,ETTh2,NN,336,336,7,3,0.42753252014517784,0.43710402505738394,long_term/iTransformer/ETTh2/NN/seq336_pred336/channel_metrics.csv
iTransformer,ETTh2,RN,96,96,7,3,0.30012340790459086,0.35036137061459677,long_term/iTransformer/ETTh2/RN/seq96_pred96/channel_metrics.csv
iTransformer,ETTh2,RN,96,336,7,3,0.41475072955446585,0.4283196521656854,long_term/iTransformer/ETTh2/RN/seq96_pred336/channel_metrics.csv
iTransformer,ETTh2,RN,336,96,7,3,0.30537612164126976,0.36026364245585035,long_term/iTransformer/ETTh2/RN/seq336_pred96/channel_metrics.csv
iTransformer,ETTh2,RN,336,336,7,3,0.39115796451057705,0.4158902242779732,long_term/iTransformer/ETTh2/RN/seq336_pred336/channel_metrics.csv
iTransformer,ETTh2,NR,96,96,7,3,0.3139311659282872,0.3614511734672955,long_term/iTransformer/ETTh2/NR/seq96_pred96/channel_metrics.csv
iTransformer,ETTh2,NR,96,336,7,3,0.4329473094216415,0.4415888413786888,long_term/iTransformer/ETTh2/NR/seq96_pred336/channel_metrics.csv
iTransformer,ETTh2,NR,336,96,7,3,0.30202772308673176,0.36163979130131857,long_term/iTransformer/ETTh2/NR/seq336_pred96/channel_metrics.csv
iTransformer,ETTh2,NR,336,336,7,3,0.4179862503494535,0.4384905131799834,long_term/iTransformer/ETTh2/NR/seq336_pred336/channel_metrics.csv
iTransformer,ETTh2,RR,96,96,7,3,0.30481451882847715,0.3543181834476335,long_term/iTransformer/ETTh2/RR/seq96_pred96/channel_metrics.csv
iTransformer,ETTh2,RR,96,336,7,3,0.4175607647214617,0.43394566433770315,long_term/iTransformer/ETTh2/RR/seq96_pred336/channel_metrics.csv
iTransformer,ETTh2,RR,336,96,7,3,0.28852045855351854,0.3531770897763116,long_term/iTransformer/ETTh2/RR/seq336_pred96/channel_metrics.csv
iTransformer,ETTh2,RR,336,336,7,3,0.36763120788548675,0.4075744077563286,long_term/iTransformer/ETTh2/RR/seq336_pred336/channel_metrics.csv
iTransformer,ETTm1,NN,96,96,7,3,0.3408780183110918,0.3764915828193937,long_term/iTransformer/ETTm1/NN/seq96_pred96/channel_metrics.csv
iTransformer,ETTm1,NN,96,336,7,3,0.41756038261311396,0.4189363015549524,long_term/iTransformer/ETTm1/NN/seq96_pred336/channel_metrics.csv
iTransformer,ETTm1,NN,336,96,7,3,0.3056868293455669,0.35888952016830444,long_term/iTransformer/ETTm1/NN/seq336_pred96/channel_metrics.csv
iTransformer,ETTm1,NN,336,336,7,3,0.37971344058002743,0.40459789761475157,long_term/iTransformer/ETTm1/NN/seq336_pred336/channel_metrics.csv
iTransformer,ETTm1,RN,96,96,7,3,0.34868981476340977,0.3771607833249228,long_term/iTransformer/ETTm1/RN/seq96_pred96/channel_metrics.csv
iTransformer,ETTm1,RN,96,336,7,3,0.41621790507010054,0.4187882627759661,long_term/iTransformer/ETTm1/RN/seq96_pred336/channel_metrics.csv
iTransformer,ETTm1,RN,336,96,7,3,0.30990439892879557,0.3621064467089517,long_term/iTransformer/ETTm1/RN/seq336_pred96/channel_metrics.csv
iTransformer,ETTm1,RN,336,336,7,3,0.38115975313952993,0.4038143094096865,long_term/iTransformer/ETTm1/RN/seq336_pred336/channel_metrics.csv
iTransformer,ETTm1,NR,96,96,7,3,0.35224875435233116,0.3783237359353474,long_term/iTransformer/ETTm1/NR/seq96_pred96/channel_metrics.csv
iTransformer,ETTm1,NR,96,336,7,3,0.42929941628660473,0.4212572361741747,long_term/iTransformer/ETTm1/NR/seq96_pred336/channel_metrics.csv
iTransformer,ETTm1,NR,336,96,7,3,0.31776163993137224,0.3667325569050653,long_term/iTransformer/ETTm1/NR/seq336_pred96/channel_metrics.csv
iTransformer,ETTm1,NR,336,336,7,3,0.3788580388895103,0.4009567563022886,long_term/iTransformer/ETTm1/NR/seq336_pred336/channel_metrics.csv
iTransformer,ETTm1,RR,96,96,7,3,0.3411012020494257,0.3716916356767927,long_term/iTransformer/ETTm1/RR/seq96_pred96/channel_metrics.csv
iTransformer,ETTm1,RR,96,336,7,3,0.4140526551221098,0.4141016900539398,long_term/iTransformer/ETTm1/RR/seq96_pred336/channel_metrics.csv
iTransformer,ETTm1,RR,336,96,7,3,0.305072687034096,0.3569756363119398,long_term/iTransformer/ETTm1/RR/seq336_pred96/channel_metrics.csv
iTransformer,ETTm1,RR,336,336,7,3,0.37872075023395674,0.39933757058211733,long_term/iTransformer/ETTm1/RR/seq336_pred336/channel_metrics.csv
iTransformer,ETTm2,NN,96,96,7,3,0.18313722079619765,0.2664970313864095,long_term/iTransformer/ETTm2/NN/seq96_pred96/channel_metrics.csv
iTransformer,ETTm2,NN,96,336,7,3,0.3110206437164119,0.34946158634764807,long_term/iTransformer/ETTm2/NN/seq96_pred336/channel_metrics.csv
iTransformer,ETTm2,NN,336,96,7,3,0.1742323313706687,0.2650941589048931,long_term/iTransformer/ETTm2/NN/seq336_pred96/channel_metrics.csv
iTransformer,ETTm2,NN,336,336,7,3,0.29634118798588005,0.34637402104479925,long_term/iTransformer/ETTm2/NN/seq336_pred336/channel_metrics.csv
iTransformer,ETTm2,RN,96,96,7,3,0.1927696854275252,0.2789446493344648,long_term/iTransformer/ETTm2/RN/seq96_pred96/channel_metrics.csv
iTransformer,ETTm2,RN,96,336,7,3,0.312626426906458,0.35238892265728544,long_term/iTransformer/ETTm2/RN/seq96_pred336/channel_metrics.csv
iTransformer,ETTm2,RN,336,96,7,3,0.17504940181970594,0.2684573866426944,long_term/iTransformer/ETTm2/RN/seq336_pred96/channel_metrics.csv
iTransformer,ETTm2,RN,336,336,7,3,0.2925105420872569,0.3448747332606997,long_term/iTransformer/ETTm2/RN/seq336_pred336/channel_metrics.csv
iTransformer,ETTm2,NR,96,96,7,3,0.20979844319767182,0.2957768865994045,long_term/iTransformer/ETTm2/NR/seq96_pred96/channel_metrics.csv
iTransformer,ETTm2,NR,96,336,7,3,0.34531792000468287,0.37973328892673763,long_term/iTransformer/ETTm2/NR/seq96_pred336/channel_metrics.csv
iTransformer,ETTm2,NR,336,96,7,3,0.17528040979855827,0.2695093559367316,long_term/iTransformer/ETTm2/NR/seq336_pred96/channel_metrics.csv
iTransformer,ETTm2,NR,336,336,7,3,0.2965657776221633,0.34973863512277603,long_term/iTransformer/ETTm2/NR/seq336_pred336/channel_metrics.csv
