source,model,case,lr_tag,group,series_count,smape,mase,naive_smape,naive_mase,forecast_dir,owa
deep_tsl,TimeMixer,RR,lr0p01,Hourly,414,40.144766,16.505135,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01,4.537597
deep_tsl,TimesNet,NN,lr0p0001,Yearly,23000,15.133508,3.458701,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001,0.898147
deep_tsl,TimesNet,NN,lr0p0001,Quarterly,24000,11.915628,1.467176,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001,1.075977
deep_tsl,TimesNet,NN,lr0p0001,Monthly,48000,13.796981,1.065637,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001,0.979242
deep_tsl,TimesNet,NN,lr0p0001,Weekly,359,12.040565,4.889749,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001,1.537451
deep_tsl,TimesNet,NN,lr0p0001,Daily,4227,4.551441,5.08639,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001,1.523038
deep_tsl,TimesNet,NN,lr0p0001,Hourly,414,35.488365,11.057375,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001,3.273646
deep_tsl,TimesNet,NR,lr0p0001,Yearly,23000,15.133517,3.458704,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001,0.898147
deep_tsl,TimesNet,NR,lr0p0001,Quarterly,24000,11.915931,1.467213,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001,1.076004
deep_tsl,TimesNet,NR,lr0p0001,Monthly,48000,13.796802,1.065592,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001,0.979215
deep_tsl,TimesNet,NR,lr0p0001,Weekly,359,12.040565,4.889749,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001,1.537451
deep_tsl,TimesNet,NR,lr0p0001,Daily,4227,4.551441,5.08639,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001,1.523038
deep_tsl,TimesNet,NR,lr0p0001,Hourly,414,35.488366,11.057376,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001,3.273647
deep_tsl,TimesNet,RN,lr0p0001,Yearly,23000,102.265303,20.36347,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001,5.690732
deep_tsl,TimesNet,RN,lr0p0001,Quarterly,24000,81.068438,11.053848,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001,7.711242
deep_tsl,TimesNet,RN,lr0p0001,Monthly,48000,62.971191,7.319222,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001,5.623989
deep_tsl,TimesNet,RN,lr0p0001,Weekly,359,80.748389,77.157392,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001,18.297789
deep_tsl,TimesNet,RN,lr0p0001,Daily,4227,53.013977,56.912818,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001,17.384271
deep_tsl,TimesNet,RN,lr0p0001,Hourly,414,42.023976,16.212008,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001,4.527516
deep_tsl,TimesNet,RR,lr0p0001,Yearly,23000,102.265303,20.36347,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001,5.690732
deep_tsl,TimesNet,RR,lr0p0001,Quarterly,24000,81.068435,11.053848,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001,7.711242
deep_tsl,TimesNet,RR,lr0p0001,Monthly,48000,62.973816,7.319408,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001,5.624168
deep_tsl,TimesNet,RR,lr0p0001,Weekly,359,80.748389,77.157392,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001,18.297789
deep_tsl,TimesNet,RR,lr0p0001,Daily,4227,53.013976,56.912818,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001,17.384271
deep_tsl,TimesNet,RR,lr0p0001,Hourly,414,42.023976,16.212008,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001,4.527516
deep_tsl,iTransformer,NN,lr0p0001,Yearly,23000,14.003329,3.117963,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001,0.820701
deep_tsl,iTransformer,NN,lr0p0001,Quarterly,24000,10.781884,1.288631,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001,0.9594
deep_tsl,iTransformer,NN,lr0p0001,Monthly,48000,13.598123,1.035437,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001,0.958149
