source,model,case,lr_tag,group,series_count,smape,mase,owa,naive_smape,naive_mase,forecast_dir
deep_tsl,TimeMixer,NN,lr0p01,Quarterly,24000,10.471466,1.241013,0.927944,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
deep_tsl,TimeMixer,NN,lr0p01,Monthly,48000,12.943802,0.96253,0.901191,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
deep_tsl,TimeMixer,NN,lr0p01,Others,5000,5.668228,3.800688,1.195721,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
deep_tsl,TimeMixer,NN,lr0p01,Average,100000,12.131987,1.650489,0.878798,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
deep_tsl,TimeMixer,NR,lr0p01,Yearly,23000,13.576978,3.049073,0.79899,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_tsl,TimeMixer,NR,lr0p01,Quarterly,24000,10.530308,1.261308,0.938015,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_tsl,TimeMixer,NR,lr0p01,Monthly,48000,13.194792,0.991935,0.923716,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_tsl,TimeMixer,NR,lr0p01,Others,5000,5.815529,3.899834,1.226854,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_tsl,TimeMixer,NR,lr0p01,Average,100000,12.274256,1.675121,0.890484,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_tsl,TimeMixer,RN,lr0p01,Yearly,23000,108.740664,21.253747,6.000853,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01
deep_tsl,TimeMixer,RN,lr0p01,Quarterly,24000,83.435069,11.312038,7.912838,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01
deep_tsl,TimeMixer,RN,lr0p01,Monthly,48000,62.552608,7.305519,5.603039,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01
deep_tsl,TimeMixer,RN,lr0p01,Others,5000,54.675265,55.438989,14.496293,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01
deep_tsl,TimeMixer,RN,lr0p01,Average,100000,77.793784,13.88185,6.497619,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01
deep_tsl,TimeMixer,RR,lr0p01,Yearly,23000,108.740664,21.253747,6.000853,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01
deep_tsl,TimeMixer,RR,lr0p01,Quarterly,24000,83.435069,11.312038,7.912838,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01
deep_tsl,TimeMixer,RR,lr0p01,Monthly,48000,62.552608,7.305519,5.603039,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01
deep_tsl,TimeMixer,RR,lr0p01,Others,5000,54.675265,55.438989,14.496293,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01
deep_tsl,TimeMixer,RR,lr0p01,Average,100000,77.793784,13.88185,6.497619,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01
deep_tsl,TimesNet,NN,lr0p0001,Yearly,23000,15.133508,3.458701,0.898147,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001
deep_tsl,TimesNet,NN,lr0p0001,Quarterly,24000,11.915628,1.467176,1.075977,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001
deep_tsl,TimesNet,NN,lr0p0001,Monthly,48000,13.796981,1.065637,0.979242,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001
deep_tsl,TimesNet,NN,lr0p0001,Others,5000,7.650737,5.566669,1.682824,4.754339,3.169299,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001
deep_tsl,TimesNet,NN,lr0p0001,Average,100000,13.345545,1.937463,0.998574,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001
deep_tsl,TimesNet,NR,lr0p0001,Yearly,23000,15.133517,3.458704,0.898147,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
deep_tsl,TimesNet,NR,lr0p0001,Quarterly,24000,11.915931,1.467213,1.076004,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
deep_tsl,TimesNet,NR,lr0p0001,Monthly,48000,13.796802,1.065592,0.979215,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
