case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse_revin,mae_revin,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint,mse_ols,mae_ols,mse_revin_vs_ols,mae_revin_vs_ols
NN,ETTm2,96,720,M,False,False,7,33745,10801,0.9557278499274152,0.638431893928852,0.397,0.421,2.407374936844875,1.516465306244304,1.0466043750056997,checkpoints/revin_ols/revin_ols_NN_ETTm2_s96_p720_M.npz,0.5567356044643684,0.5237269916239066,1.7166637848623219,1.2190165947897453
RN,ETTm2,96,96,M,True,False,7,34369,11425,0.2508362527875521,0.3258578610567557,0.167,0.26,1.502013489745821,1.2532994656029066,0.7175272919703275,checkpoints/revin_ols/revin_ols_RN_ETTm2_s96_p96_M.npz,0.1992053758936126,0.2987458652903643,1.2591841543549178,1.0907527062844538
RN,ETTm2,96,192,M,True,False,7,34273,11329,0.4816109297856533,0.4723670247068795,0.224,0.303,2.150048793685952,1.5589670782405265,0.9168811249546708,checkpoints/revin_ols/revin_ols_RN_ETTm2_s96_p192_M.npz,0.2904148296023252,0.3658291301518607,1.6583551550901838,1.2912231032853876
RN,ETTm2,96,336,M,True,False,7,34129,11185,0.621618482464167,0.5484009368752105,0.281,0.342,2.212165418021946,1.6035115113310248,0.983201624942012,checkpoints/revin_ols/revin_ols_RN_ETTm2_s96_p336_M.npz,0.3924259853146336,0.4331442911590248,1.584040062907085,1.266092958094351
RN,ETTm2,96,720,M,True,False,7,33745,10801,0.921483851626121,0.6740231140101834,0.397,0.421,2.3211180141715895,1.601005021401861,1.3099758750759063,checkpoints/revin_ols/revin_ols_RN_ETTm2_s96_p720_M.npz,0.5628065727613996,0.5270562869117548,1.6373011550040688,1.2788446523606982
NR,ETTm2,96,96,M,False,True,7,34369,11425,0.1893842797594535,0.2681796296861021,0.167,0.26,1.1340376033500212,1.031460114177316,0.6575511249247938,checkpoints/revin_ols/revin_ols_NR_ETTm2_s96_p96_M.npz,0.198582307078238,0.2975577898871172,0.9536815366176572,0.9012690603322464
NR,ETTm2,96,192,M,False,True,7,34273,11329,0.2623326746960938,0.3182641059469586,0.224,0.303,1.171128012036133,1.050376587283692,0.7346073329681531,checkpoints/revin_ols/revin_ols_NR_ETTm2_s96_p192_M.npz,0.2891655595883149,0.3628348601033531,0.9072058064922285,0.8771596694328142
NR,ETTm2,96,336,M,False,True,7,34129,11185,0.3474301683130715,0.3737195817757265,0.281,0.342,1.2364062929290802,1.092747315133703,0.8327797920210287,checkpoints/revin_ols/revin_ols_NR_ETTm2_s96_p336_M.npz,0.3905345580414141,0.4301953306148074,0.8896272075267366,0.8687206837917804
NR,ETTm2,96,720,M,False,True,7,33745,10801,0.9599219202406564,0.6427622915999582,0.397,0.421,2.4179393456943483,1.5267512864607085,1.136734040919691,checkpoints/revin_ols/revin_ols_NR_ETTm2_s96_p720_M.npz,0.564651082369348,0.5309351277175638,1.7000267071351416,1.2106230272672447
RR,ETTm2,96,96,M,True,True,7,34369,11425,0.2566059165840976,0.3263206531393314,0.167,0.26,1.5365623747550754,1.2550794351512746,0.7858522089663893,checkpoints/revin_ols/revin_ols_RR_ETTm2_s96_p96_M.npz,0.1998613677212344,0.2989417098893661,1.2839195463828217,1.0915862268269552
RR,ETTm2,96,192,M,True,True,7,34273,11329,0.4915833814166459,0.4670977636266029,0.224,0.303,2.194568667038598,1.5415767776455542,0.896145207923837,checkpoints/revin_ols/revin_ols_RR_ETTm2_s96_p192_M.npz,0.2913616052876938,0.3645717542150403,1.687193413597687,1.2812231288524023
RR,ETTm2,96,336,M,True,True,7,34129,11185,0.6280859988291483,0.5429096628941322,0.281,0.342,2.235181490495189,1.5874551546612052,1.077337458031252,checkpoints/revin_ols/revin_ols_RR_ETTm2_s96_p336_M.npz,0.393749445001072,0.4322779177756853,1.5951412930307451,1.2559273573068686
RR,ETTm2,96,720,M,True,True,7,33745,10801,0.9330288019337172,0.6777639360479004,0.397,0.421,2.3501984935358116,1.609890584436818,1.522629791055806,checkpoints/revin_ols/revin_ols_RR_ETTm2_s96_p720_M.npz,0.5707064955676765,0.5341516907855548,1.6348662739603865,1.2688604150089668
NN,electricity,96,96,M,False,False,321,18221,5165,0.2024668743560796,0.2841571718454435,0.141,0.237,1.4359352791211326,1.1989754086305633,6.219180000014603,checkpoints/revin_ols/revin_ols_NN_electricity_s96_p96_M.npz,0.1945653911502309,0.2774011741833414,1.0406109388680935,1.0243546109059973
NN,electricity,96,192,M,False,False,321,18125,5069,0.2045282995175898,0.2902370405496214,0.154,0.248,1.3281058410233109,1.1703106473775058,7.033356916042976,checkpoints/revin_ols/revin_ols_NN_electricity_s96_p192_M.npz,0.1938402293569773,0.2802755338096012,1.0551385550670664,1.0355418348673535
NN,electricity,96,336,M,False,False,321,17981,4925,0.2211476053772879,0.3080983132350046,0.171,0.265,1.2932608501595786,1.162635144283036,10.049876749981197,checkpoints/revin_ols/revin_ols_NN_electricity_s96_p336_M.npz,0.2067783432583612,0.2960530579105049,1.0694911367046445,1.04068613717255
NN,electricity,96,720,M,False,False,321,17597,4541,0.268528943337789,0.3465994376233792,0.21,0.297,1.278709253989471,1.1670014734793914,15.240394624997862,checkpoints/revin_ols/revin_ols_NN_electricity_s96_p720_M.npz,0.2423158813166889,0.3292184011214843,1.1081772349326189,1.052794851207242
RN,electricity,96,96,M,True,False,321,18221,5165,0.2024482875188087,0.2841754527418573,0.141,0.237,1.435803457580204,1.1990525432145878,5.650148040964268,checkpoints/revin_ols/revin_ols_RN_electricity_s96_p96_M.npz,0.1944807603122161,0.2772194966008173,1.0409682026839142,1.0250918720592594
RN,electricity,96,192,M,True,False,321,18125,5069,0.2067825818908873,0.2936760674093622,0.154,0.248,1.342744038252515,1.184177691166783,7.095113625051454,checkpoints/revin_ols/revin_ols_RN_electricity_s96_p192_M.npz,0.1937740137194246,0.2802141967999547,1.0671326764707392,1.0480413582293189
RN,electricity,96,336,M,True,False,321,17981,4925,0.228827555913615,0.3184329738957995,0.171,0.265,1.3381728416000875,1.2016338637577342,11.04936262499541,checkpoints/revin_ols/revin_ols_RN_electricity_s96_p336_M.npz,0.2065540840081695,0.2958794184643792,1.1078336069334973,1.0762254960094007
RN,electricity,96,720,M,True,False,321,17597,4541,0.3016742324146277,0.3822235810956149,0.21,0.297,1.43654396387918,1.28694808449702,18.92102020897437,checkpoints/revin_ols/revin_ols_RN_electricity_s96_p720_M.npz,0.2419093556011839,0.3290706374656569,1.2470548386395326,1.161524419314091
NR,electricity,96,96,M,False,True,321,18221,5165,0.2014559420822646,0.285160320669957,0.141,0.237,1.428765546682728,1.2032081040926457,7.736683750059456,checkpoints/revin_ols/revin_ols_NR_electricity_s96_p96_M.npz,0.1915120745164011,0.2766755524743667,1.05192292752806,1.0306668519126798
NR,electricity,96,192,M,False,True,321,18125,5069,0.2044953973770857,0.2917446280242026,0.154,0.248,1.327892190760297,1.1763896291298492,7.773124624975026,checkpoints/revin_ols/revin_ols_NR_electricity_s96_p192_M.npz,0.1902178328031109,0.2791801141208965,1.0750590224038201,1.0450050460895834
NR,electricity,96,336,M,False,True,321,17981,4925,0.2259239546895732,0.3126264185415716,0.171,0.265,1.321192717482884,1.179722334119138,10.50783495802898,checkpoints/revin_ols/revin_ols_NR_electricity_s96_p336_M.npz,0.2048988961129787,0.2952113093926637,1.102611868465126,1.0589920121445748
NR,electricity,96,720,M,False,True,321,17597,4541,0.2680315359372629,0.3437808857266952,0.21,0.297,1.2763406473202996,1.1575113997531827,18.162083584000356,checkpoints/revin_ols/revin_ols_NR_electricity_s96_p720_M.npz,0.2366602223832742,0.3230871629582419,1.1325584554855292,1.0640499689897238
RR,electricity,96,96,M,True,True,321,18221,5165,0.2015051386695706,0.2851822515205788,0.141,0.237,1.4291144586494369,1.203300639327337,5.379313166020438,checkpoints/revin_ols/revin_ols_RR_electricity_s96_p96_M.npz,0.1915115183658456,0.2765447200801124,1.0521828681063148,1.0312337600875698
RR,electricity,96,192,M,True,True,321,18125,5069,0.2070050510807168,0.2952650362080484,0.154,0.248,1.344188643381278,1.1905848234195502,8.003429124946706,checkpoints/revin_ols/revin_ols_RR_electricity_s96_p192_M.npz,0.1902302513284864,0.2791424260018497,1.0881815570083222,1.057757648800014
RR,electricity,96,336,M,True,True,321,17981,4925,0.2348344569223339,0.3236795221631175,0.171,0.265,1.373300917674467,1.2214321591061037,11.100580916972833,checkpoints/revin_ols/revin_ols_RR_electricity_s96_p336_M.npz,0.204891707660944,0.2951671436655043,1.1461393904283297,1.0965973995057006
RR,electricity,96,720,M,True,True,321,17597,4541,0.3020533067491063,0.3784422412150857,0.21,0.297,1.4383490797576493,1.2742163003874942,19.738518667058088,checkpoints/revin_ols/revin_ols_RR_electricity_s96_p720_M.npz,0.2363799619324365,0.3228250999481158,1.277829576922603,1.1722825804929933
NN,exchange_rate,96,96,M,False,False,8,5120,1422,0.087426774807812,0.2066104999454276,0.089,0.208,0.9823233124473264,0.9933197112760944,0.1986728330375626,checkpoints/revin_ols/revin_ols_NN_exchange_rate_s96_p96_M.npz,0.0802464999170322,0.202160142603275,1.0894777329628529,1.0220140196026974
NN,exchange_rate,96,192,M,False,False,8,5024,1326,0.1844685081394143,0.3106698796628809,0.18,0.3,1.0248250452189689,1.0355662655429363,0.2850607910659164,checkpoints/revin_ols/revin_ols_NN_exchange_rate_s96_p192_M.npz,0.1659577851668483,0.3002952827733089,1.1115387443496907,1.034547984882612
NN,exchange_rate,96,336,M,False,False,8,4880,1182,0.3316646785483212,0.4213934725364593,0.331,0.415,1.0020080922910009,1.0154059579191792,0.2113971250364557,checkpoints/revin_ols/revin_ols_NN_exchange_rate_s96_p336_M.npz,0.3024518382614224,0.4120847569928778,1.0965867506536655,1.0225893226711669
NN,exchange_rate,96,720,M,False,False,8,4496,798,0.8199765683042932,0.667880496092293,1.033,0.78,0.7937817698976701,0.8562570462721706,0.2246873748954385,checkpoints/revin_ols/revin_ols_NN_exchange_rate_s96_p720_M.npz,0.8297614958058462,0.6821429652234731,0.9882075421057588,0.9790916716021435
RN,exchange_rate,96,96,M,True,False,8,5120,1422,0.0845726407117489,0.2004159812723334,0.089,0.208,0.950254390019651,0.9635383715016034,0.185724834096618,checkpoints/revin_ols/revin_ols_RN_exchange_rate_s96_p96_M.npz,0.0825076328318847,0.2067780757946812,1.0250280829662366,0.9692322578305401
RN,exchange_rate,96,192,M,True,False,8,5024,1326,0.1702742364869079,0.2918961912269008,0.18,0.3,0.9459679804828222,0.9729873040896694,0.1793128330027684,checkpoints/revin_ols/revin_ols_RN_exchange_rate_s96_p192_M.npz,0.1774759108616186,0.3128652956112823,0.959421679597261,0.9329772119869938
RN,exchange_rate,96,336,M,True,False,8,4880,1182,0.3131098893283102,0.4032638142372558,0.331,0.415,0.9459513272758616,0.9717200343066406,0.2285401659319177,checkpoints/revin_ols/revin_ols_RN_exchange_rate_s96_p336_M.npz,0.3388239579434019,0.4381231641586926,0.9241078795868766,0.9204348165695014
RN,exchange_rate,96,720,M,True,False,8,4496,798,0.9952081262913972,0.7418636668537945,1.033,0.78,0.9634154175134534,0.9511072651971724,0.3648549999343231,checkpoints/revin_ols/revin_ols_RN_exchange_rate_s96_p720_M.npz,0.9044981758716064,0.7199264835699793,1.1002875990682672,1.0304714214360233
